"party","Vote_change_dummy","Vote4","Contribution_4_minus","Contribution_4_plus","BioID","seniority_114","Geographical","Vote4_minus","Vote4_plus"
"R",0,0,13,0,"R000575",7,"SO",1,0
"R",0,0,20,0,"A000055",10,"SO",1,0
"R",0,0,5,0,"B001274",3,"SO",1,0
"D",0,1,10.25,0,"S001185",3,"SO",0,1
"R",0,0,27.8,0,"Y000033",15,"WE",1,0
"D",0,1,3.605,3.025,"K000368",3,"WE",0,1
"D",0,1,1.5,0,"G000551",7,"WE",0,1
"R",0,0,16,0,"G000565",3,"WE",1,0
"R",0,0,NA,NA,"S001183",3,"WE",1,0
"R",0,0,2.5,0,"C001087",3,"SO",1,0
"R",0,0,11,0,"W000809",3,"SO",1,0
"R",0,0,13.4,0.501,"L000578",2,"WE",1,0
"D",0,1,13.32,0.2,"H001068",2,"WE",0,1
"D",0,1,3,0,"G000559",4,"WE",0,1
"R",0,0,4.925,0,"M001177",4,"WE",1,0
"D",0,1,10,0.5,"T000460",9,"WE",0,1
"D",0,1,4.7,5.4,"M001163",6,"WE",0,1
"D",0,1,2.55,5.4,"B001287",2,"WE",0,1
"D",0,1,17.35,1.35,"M001166",5,"WE",0,1
"D",0,1,5.8,0.2,"P000197",15,"WE",0,1
"D",0,1,2.9,0,"L000551",10,"WE",0,1
"D",0,1,0,0,"S001175",5,"WE",0,1
"D",0,1,18.6,0.8,"S001193",2,"WE",0,1
"D",1,1,58,2,"C001059",6,"WE",0,1
"D",0,1,7.5,0,"L000397",11,"WE",0,1
"R",0,0,56.5,0.25,"N000181",7,"WE",1,0
"R",0,0,202.75,7.9,"M001165",5,"WE",1,0
"D",0,1,6.015,0.003,"B001285",2,"WE",0,1
"D",0,1,0,0,"C001080",4,"WE",0,1
"D",0,1,1,0,"S001150",8,"WE",0,1
"D",0,1,13.5,0,"C001097",2,"WE",0,1
"D",0,1,3,0,"S000344",10,"WE",0,1
"D",0,1,5.5,0,"N000179",9,"WE",0,1
"D",0,1,5.15,0.25,"R000599",2,"WE",0,1
"D",0,1,6.5,0,"B001270",3,"WE",0,1
"D",0,1,13.5,0,"S001156",7,"WE",0,1
"D",0,1,2.5,0,"R000486",12,"WE",0,1
"D",0,1,2.5,0,"T000472",2,"WE",0,1
"R",0,0,60.5,1,"C000059",12,"WE",1,0
"D",0,1,2.5,0,"W000187",13,"WE",0,1
"D",0,1,12,0,"L000579",2,"WE",0,1
"R",0,0,13.4,2.7,"I000056",8,"WE",1,0
"D",0,1,15.8,0,"V000130",2,"WE",0,1
"D",0,1,16.395,1.025,"P000608",2,"WE",0,1
"D",0,1,4,1,"D000197",10,"WE",0,1
"R",0,0,32.25,0,"L000564",5,"WE",1,0
"D",0,1,6.45,0.5,"P000593",5,"WE",0,1
"D",0,1,7.5,1,"L000557",9,"NE",0,1
