"BioID","GovtrackID","opensecrets_id","first_name","last_name","state","district","party","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","name","Vote_count","Vote_change","vote_change_type","vote_change_year","year","first_vote","Vote_change_dummy","birthday","gender","nominate_dim1","nominate_dim2","seniority_113","seniority_114","seniority_1151","seniority_1152","seniority_116","seniority_117","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_52_minus","Contribution_52_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","Dmajority_3","Dmajority_4","Dmajority_51","Dmajority_52","Dmajority_6","Dmajority_7","Geographical","first_contribution_minus","first_contribution_plus"
"C001059",400618,"N00026341","Jim","Costa","CA",NA,"D",0,1,NA,1,0,1,"costa jim",5,3,1,"2013-2016","2016","3",1,1952,"M",0.196,0.458,5,6,7,7,8,9,24.114,0,58,2,36.75,0,59.75,0,27.5,0,48,0,0,0,0,0,1,1,"WE"," 24.114","0.00"
"C001059",400618,"N00026341","Jim","Costa","CA",NA,"D",0,1,NA,1,0,1,"costa jim",5,3,0,"2018-2019","2019","3",1,1952,"M",0.196,0.458,5,6,7,7,8,9,24.114,0,58,2,36.75,0,59.75,0,27.5,0,48,0,0,0,0,0,1,1,"WE"," 24.114","0.00"
"C001059",400618,"N00026341","Jim","Costa","CA",NA,"D",0,1,NA,1,0,1,"costa jim",5,3,1,"2019-2021","2021","3",1,1952,"M",0.196,0.458,5,6,7,7,8,9,24.114,0,58,2,36.75,0,59.75,0,27.5,0,48,0,0,0,0,0,1,1,"WE"," 24.114","0.00"
"B000490",400030,"N00002674","Sanford D.,Sanford","Bishop","GA",2,"D",1,0,1,0,1,1,"bishop sanford d,bishop sanford",6,4,0,"2013-2016","2016","3",1,1947,"M",0.285,0.454,11,12,13,13,14,15,20,0,17.5,0,13.5,0,18,0,7.5,0,5,0,0,0,0,0,1,1,"SO"," 20.000","0.00"
"B000490",400030,"N00002674","Sanford D.,Sanford","Bishop","GA",2,"D",1,0,1,0,1,1,"bishop sanford d,bishop sanford",6,4,1,"2016-2017","2017","3",1,1947,"M",0.285,0.454,11,12,13,13,14,15,20,0,17.5,0,13.5,0,18,0,7.5,0,5,0,0,0,0,0,1,1,"SO"," 20.000","0.00"
"B000490",400030,"N00002674","Sanford D.,Sanford","Bishop","GA",2,"D",1,0,1,0,1,1,"bishop sanford d,bishop sanford",6,4,0,"2017-2018","2018","3",1,1947,"M",0.285,0.454,11,12,13,13,14,15,20,0,17.5,0,13.5,0,18,0,7.5,0,5,0,0,0,0,0,1,1,"SO"," 20.000","0.00"
"B000490",400030,"N00002674","Sanford D.,Sanford","Bishop","GA",2,"D",1,0,1,0,1,1,"bishop sanford d,bishop sanford",6,4,1,"2018-2019","2019","3",1,1947,"M",0.285,0.454,11,12,13,13,14,15,20,0,17.5,0,13.5,0,18,0,7.5,0,5,0,0,0,0,0,1,1,"SO"," 20.000","0.00"
"U000031",400414,"N00004133","Fred","Upton","MI",6,"R",0,0,0,1,1,1,"upton fred",6,1,1,"2017-2018","2018","3",1,1953,"M",0.32,0.355,14,15,16,16,17,18,135.35,1,142.613,0,28.2,0,94.75,0,51.788,0,33.233,0,0,0,0,0,1,1,"MW","135.350","1.00"
"S000522",400380,"N00009816","Christopher H.,Christopher","Smith","NJ",4,"R",0,0,1,1,1,0,"smith christopher h,smith christopher",6,2,1,"2016-2017","2017","3",1,1953,"M",0.178,0.173,14,15,16,16,17,18,1.5,0,NA,NA,8.099,0,8.099,0,10.988,0,0,0,0,0,0,0,1,1,"NE","  1.500","0.00"
"S000522",400380,"N00009816","Christopher H.,Christopher","Smith","NJ",4,"R",0,0,1,1,1,0,"smith christopher h,smith christopher",6,2,0,"2019-2021","2021","3",1,1953,"M",0.178,0.173,14,15,16,16,17,18,1.5,0,NA,NA,8.099,0,8.099,0,10.988,0,0,0,0,0,0,0,1,1,"NE","  1.500","0.00"
"R000585",412393,"N00030949","Tom","Reed","NY",23,"R",0,0,0,0,0,1,"reed tom",6,1,1,"2019-2021","2021","3",1,1971,"M",0.269,0.12,3,4,5,5,6,7,85.75,4.25,77.325,18,40.925,0.5,32.425,0,45.288,0,13.3,0,0,0,0,0,1,1,"NE"," 85.750","4.25"
"C001063",400657,"N00024978","Henry","Cuellar","TX",28,"D",0,0,0,0,1,1,"cuellar henry",6,1,1,"2018-2019","2019","3",1,1955,"M",0.227,0.622,5,6,7,7,8,9,65.1,0,43.75,0,53.95,0.25,63.7,0.25,68.65,0,62.598,0,0,0,0,0,1,1,"SO"," 65.100","0.00"
"V000131",412579,"N00033839","Marc A.,Marc","Veasey","TX",33,"D",1,0,1,1,1,1,"veasey marc a,veasey marc",6,2,0,"2013-2016","2016","3",1,1971,"M",0.404,0.34,1,2,3,3,4,5,14.3,0,21.35,0,14.5,0,14.7,0,44.9,0,56.5,0,0,0,0,0,1,1,"SO"," 14.300","0.00"
"V000131",412579,"N00033839","Marc A.,Marc","Veasey","TX",33,"D",1,0,1,1,1,1,"veasey marc a,veasey marc",6,2,1,"2016-2017","2017","3",1,1971,"M",0.404,0.34,1,2,3,3,4,5,14.3,0,21.35,0,14.5,0,14.7,0,44.9,0,56.5,0,0,0,0,0,1,1,"SO"," 14.300","0.00"
"V000132",412580,"N00034349","Filemon","Vela","TX",34,"D",0,1,1,1,1,1,"vela filemon",6,1,1,"2013-2016","2016","3",1,1963,"M",0.311,0.407,1,2,3,3,4,5,7.5,1,17.4,0.5,20,0,13.5,0,17,0,2.5,0,0,0,0,0,1,1,"SO","  7.500","1.00"
"S001196",412648,"N00035523","Elise","Stefanik","NY",21,"R",NA,1,1,1,1,0,"stefanik elise",5,1,0,"2019-2021","2021","4",1,1984,"F",0.301,0.125,0,1,2,2,3,4,NA,NA,26.25,2.25,34.75,8.193,25.55,14.9,24.238,2.5,1.292,8.7,0,0,0,0,1,1,"NE"," 26.250"," 2.25"
"G000578",412690,"N00039503","Matt","Gaetz","FL",1,"R",NA,NA,0,NA,0,1,"gaetz matt",3,1,1,"2019-2021","2021","51",1,1982,"M",0.598,0.646,0,0,1,1,2,3,NA,NA,NA,NA,5.4,0,8.1,0,1.5,0,5.391,0,0,0,0,0,1,1,"SO"," 5.400","0.000"
"G000581",412725,"N00038809","Vicente","Gonzalez","TX",NA,"D",NA,NA,0,1,1,1,"gonzalez vicente",4,1,1,"2017-2018","2018","51",1,1967,"M",0.388,0.755,0,0,1,1,2,3,NA,NA,NA,NA,26,0,24,0,18.5,0,56.7,0,0,0,0,0,1,1,"SO","26.000","0.000"
"W000823",412764,"N00042403","Michael","Waltz","FL",6,"R",NA,NA,NA,NA,1,0,"waltz michael",2,1,0,"2019-2021","2021","6",1,1974,"M",0.442,0.117,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,7,0,8.75,0,0,0,0,0,1,1,"SO"," 7.000","0.0"
"C001077",NA,"N00024753","Mike","Coffman","CO",6,"R",0,0,0,1,NA,NA,"mike coffman",4,1,1,"2017-2018","2018","3",1,1955,"M",0.492,0.213,3,4,5,5,5,5,99.05,0.25,68.911,0.5,58.3,2,74.2,60.55,NA,NA,NA,NA,0,0,0,0,1,1,"WE"," 99.050","0.25"
"R000435",NA,"N00002858","Ileana","Ros-Lehtinen","FL",27,"R",0,1,NA,1,NA,NA,"ileana ros lehtinen",3,1,1,"2013-2016","2016","3",1,1952,"F",0.244,0.225,13,14,15,15,15,15,0,0,1.5,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,1,"SO","  0.000","0.00"
"R000580",NA,"N00004719","Peter J.,Peter","Roskam","IL",6,"R",0,0,0,1,NA,NA,"peter j roskam,peter roskam",4,1,1,"2017-2018","2018","3",1,1961,"M",0.429,0.018,4,5,6,6,6,6,43.3,0,20.85,0,38.25,3.225,35.35,3.225,NA,NA,NA,NA,0,0,0,0,1,1,"MW"," 43.300","0.00"
"L000567",NA,"N00000898","Leonard","Lance","NJ",7,"R",0,0,0,1,NA,NA,"leonard lance",4,1,1,"2017-2018","2018","3",1,1952,"M",0.329,0.237,3,4,5,5,5,5,6,0,17.575,0,28.25,0,33,0,NA,NA,NA,NA,0,0,0,0,1,1,"NE","  6.000","0.00"
"H001051",NA,"N00030197","Richard","Hanna","NY",22,"R",0,1,NA,NA,NA,NA,"richard hanna",2,1,1,"2013-2016","2016","3",1,1951,"M",0.215,0.145,2,3,3,3,3,3,3.25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,"NE","  3.250","0.00"
"M001181",NA,"N00031134","Patrick","Meehan","PA",7,"R",0,0,1,NA,NA,NA,"patrick meehan",3,1,1,"2016-2017","2017","3",1,1955,"M",0.22,0.076,2,3,4,4,4,4,19,5.4,26.7,6.5,7,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,"NE"," 19.000","5.40"
"S000051",NA,"N00002424","Mark,Marshall","Sanford","SC",1,"R",0,0,1,1,NA,NA,"mark sanford,marshall sanford",4,1,1,"2016-2017","2017","3",1,1960,"M",0.686,0.728,4,5,6,6,6,6,12.6,0,2,0,5,4.2,7.5,4.2,NA,NA,NA,NA,0,0,0,0,1,1,"SO"," 12.600","0.00"
"G000410",NA,"N00005870","Gene","Green","TX",29,"D",0,1,1,1,NA,NA,"gene green",4,1,1,"2013-2016","2016","3",1,1947,"M",0.324,0.453,11,12,13,13,13,13,46.5,0,96.45,2.5,0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,1,"SO"," 46.500","0.00"
"R000578",NA,"N00026885","Dave,David","Reichert","WA",8,"R",0,0,1,1,NA,NA,"dave reichert,david reichert",4,1,1,"2016-2017","2017","3",1,1950,"M",0.224,0.146,5,6,7,7,7,7,5.75,1,10,6.5,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,"WE","  5.750","1.00"
"K000387",NA,"N00035820","Steve","Knight","CA",25,"R",NA,0,1,0,NA,NA,"steve knight",3,2,1,"2016-2017","2017","4",1,1966,"M",0.397,0.188,0,1,2,2,2,2,NA,NA,28.8,0,44.946,5.287,60.606,5.287,NA,NA,NA,NA,0,0,0,0,1,1,"WE"," 28.800"," 0.00"
"K000387",NA,"N00035820","Steve","Knight","CA",25,"R",NA,0,1,0,NA,NA,"steve knight",3,2,0,"2017-2018","2018","4",1,1966,"M",0.397,0.188,0,1,2,2,2,2,NA,NA,28.8,0,44.946,5.287,60.606,5.287,NA,NA,NA,NA,0,0,0,0,1,1,"WE"," 28.800"," 0.00"
"C001106",NA,"N00031064","Ryan","Costello","PA",6,"R",NA,0,1,1,NA,NA,"ryan costello",3,1,1,"2016-2017","2017","4",1,1976,"M",0.217,0.055,0,1,2,2,2,2,NA,NA,36.2,7,14,1,7.5,1,NA,NA,NA,NA,0,0,0,0,1,1,"NE"," 36.200"," 7.00"
