"party","Vote_change_dummy","Vote4","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","state","BioID","seniority_113","birthday","Geographical","nominate_dim1","nominate_dim2","Vote4_minus","Vote4_plus","Vote4_NA"
"R",0,"-",17500,0,13000,0,"AL","R000575",6,"1958-07-16","SO",0.377,0.384,1,0,0
"R",0,"-",17896,0,20000,0,"AL","A000055",9,"1965-07-22","SO",0.403,0.479,1,0,0
"R",0,"-",8500,0,5000,0,"AL","B001274",2,"1954-04-29","SO",0.652,-0.417,1,0,0
"D",0,"+",16000,0,10250,0,"AL","S001185",2,"1965-01-01","SO",-0.398,0.4,0,1,0
"R",0,"-",8600,0,27800,0,"AK","Y000033",14,"1933-06-09","WE",0.283,0.022,1,0,0
"D",0,"+",18300,0,3605,3025,"AZ","K000368",2,"1950-03-24","WE",-0.169,-0.01,0,1,0
"D",0,"+",NA,NA,1500,0,"AZ","G000551",6,"1948-02-19","WE",-0.598,-0.264,0,1,0
"R",0,"-",19850,0,16000,0,"AZ","G000565",2,"1958-11-22","WE",0.699,-0.499,1,0,0
"R",0,"-",8750,0,NA,NA,"AZ","S001183",2,"1962-03-03","WE",0.561,-0.251,1,0,0
"R",0,"-",9500,1000,2500,0,"AR","C001087",2,"1966-01-22","SO",0.457,0.32,1,0,0
"R",0,"-",7000,0,11000,0,"AR","W000809",2,"1957-02-18","SO",0.348,0.621,1,0,0
"R",0,"-",17500,0,13400,501,"CA","L000578",1,"1960-07-02","WE",0.538,0.026,1,0,0
"D",0,"+",7400,0,13320,200,"CA","H001068",1,"1964-02-18","WE",-0.428,-0.527,0,1,0
"D",0,"+",4500,1500,3000,0,"CA","G000559",3,"1945-01-24","WE",-0.309,-0.096,0,1,0
"R",0,"-",11450,0,4925,0,"CA","M001177",3,"1956-07-10","WE",0.682,-0.401,1,0,0
"D",0,"+",27385,1500,10000,500,"CA","T000460",8,"1951-01-24","WE",-0.393,0.068,0,1,0
"D",0,"+",27249,3850,4700,5400,"CA","M001163",5,"1944-09-25","WE",-0.435,-0.146,0,1,0
"D",0,"+",2750,250,2550,5400,"CA","B001287",1,"1965-03-02","WE",-0.241,0.013,0,1,0
"D",0,"+",20049,7500,17350,1350,"CA","M001166",4,"1951-06-18","WE",-0.263,-0.159,0,1,0
"D",0,"+",1000,0,5800,200,"CA","P000197",14,"1940-03-26","WE",-0.49,-0.197,0,1,0
"D",0,"+",7100,0,2900,0,"CA","L000551",9,"1946-07-16","WE",-0.677,-0.569,0,1,0
"D",0,"+",250,0,0,0,"CA","S001175",4,"1950-05-14","WE",-0.381,-0.41,0,1,0
"D",0,"+",16100,4350,18600,800,"CA","S001193",1,"1980-11-16","WE",-0.362,-0.077,0,1,0
"D",1,"+",24114,0,58000,2000,"CA","C001059",5,"1952-04-13","WE",-0.196,0.458,0,1,0
"D",0,NA,3500,0,2150,0,"CA","E000215",11,"1942-12-13","WE",-0.38,-0.397,NA,NA,1
"D",0,"+",2000,10400,7500,0,"CA","L000397",10,"1947-12-21","WE",-0.399,-0.419,0,1,0
"R",0,"-",43500,1000,56500,250,"CA","N000181",6,"1973-10-01","WE",0.45,0.223,1,0,0
"R",0,"-",172660,3500,202750,7900,"CA","M001165",4,"1965-01-26","WE",0.453,0.233,1,0,0
"D",0,"+",4100,250,6015,3,"CA","B001285",1,"1952-08-28","WE",-0.294,0.051,0,1,0
"D",0,"+",5100,1000,0,0,"CA","C001080",3,"1953-07-07","WE",-0.489,-0.379,0,1,0
"D",0,"+",0,0,1000,0,"CA","S001150",7,"1960-06-22","WE",-0.35,-0.133,0,1,0
"D",0,"+",4000,0,13500,0,"CA","C001097",1,"1963-03-31","WE",-0.395,-0.003,0,1,0
"D",0,"+",0,0,3000,0,"CA","S000344",9,"1954-10-24","WE",-0.343,-0.141,0,1,0
"D",0,"+",2000,1500,5500,0,"CA","N000179",8,"1936-12-04","WE",-0.449,-0.245,0,1,0
"D",0,"+",1500,0,5150,250,"CA","R000599",1,"1972-08-25","WE",-0.252,0.049,0,1,0
"D",0,"+",4750,0,6500,0,"CA","B001270",2,"1953-10-03","WE",-0.584,-0.098,0,1,0
"D",0,"+",5500,500,13500,0,"CA","S001156",6,"1969-01-28","WE",-0.508,-0.135,0,1,0
"D",0,"+",5300,0,2500,0,"CA","R000486",11,"1941-06-12","WE",-0.469,-0.171,0,1,0
"D",0,"+",0,0,2500,0,"CA","T000472",1,"1960-12-10","WE",-0.465,-0.293,0,1,0
"R",0,"-",15600,0,60500,1000,"CA","C000059",11,"1953-06-08","WE",0.341,0.263,1,0,0
"D",0,"+",10400,0,2500,0,"CA","W000187",12,"1938-08-15","WE",-0.656,-0.079,0,1,0
"D",0,"+",10500,0,12000,0,"CA","L000579",1,"1941-03-08","WE",-0.449,-0.384,0,1,0
"R",0,"-",54450,1500,13400,2700,"CA","I000056",7,"1953-11-01","WE",0.484,-0.001,1,0,0
"D",0,"+",7600,0,15800,0,"CA","V000130",1,"1961-03-07","WE",-0.404,0.048,0,1,0
"D",0,"+",15700,0,16395,1025,"CA","P000608",1,"1958-06-17","WE",-0.188,-0.032,0,1,0
"D",0,"+",0,0,4000,1000,"CO","D000197",9,"1957-07-29","WE",-0.431,-0.303,0,1,0
"R",0,"-",20500,0,32250,0,"CO","L000564",4,"1954-05-24","WE",0.667,0.232,1,0,0
"D",0,"+",14700,2500,6450,500,"CO","P000593",4,"1953-05-01","WE",-0.282,0.072,0,1,0
"D",0,"+",10000,1000,7500,1000,"CT","L000557",8,"1948-07-22","NE",-0.396,-0.047,0,1,0
"D",0,"+",8000,0,4000,0,"CT","C001069",4,"1953-04-06","NE",-0.34,0.03,0,1,0
"D",0,"+",NA,NA,5375,0,"CT","D000216",12,"1943-03-02","NE",-0.414,-0.116,0,1,0
"D",0,"+",2500,0,12000,0,"CT","H001047",3,"1966-07-05","NE",-0.24,-0.226,0,1,0
"R",0,"-",2000,0,6000,0,"FL","P000599",3,"1947-12-18","SO",0.531,-0.351,1,0,0
"R",0,"-",6500,0,4500,200,"FL","W000806",2,"1949-04-27","SO",0.525,-0.094,1,0,0
"R",0,"-",8500,0,15000,0,"FL","B001257",4,"1963-02-08","SO",0.419,-0.017,1,0,0
"D",0,"+",2500,0,4000,0,"FL","C001066",4,"1966-08-20","SO",-0.437,0.06,0,1,0
"R",0,"-",6000,0,5000,0,"FL","B001260",4,"1951-05-08","SO",0.362,-0.095,1,0,0
"D",0,NA,3500,0,2500,0,"FL","H000324",11,"1936-09-05","SO",-0.564,0.157,NA,NA,1
"D",0,"+",11000,2500,0,0,"FL","D000610",3,"1966-05-07","SO",-0.401,-0.078,0,1,0
"D",0,"+",5600,0,0,0,"FL","F000462",1,"1948-05-16","SO",-0.397,-0.054,0,1,0
"D",0,"+",9500,5500,6400,2850,"FL","W000797",5,"1966-09-27","SO",-0.416,0.088,0,1,0
"D",0,"+",2000,0,3500,0,"FL","W000808",2,"1942-11-05","SO",-0.477,-0.012,0,1,0
