"party","Vote_change_dummy","Vote6","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_6_minus","Contribution_6_plus","state","BioID","seniority_116","birthday","Geographical","nominate_dim1","nominate_dim2","Vote6_minus","Vote6_plus","Vote6_NA"
"R",0,0,17500,0,13000,0,24300,0,"AL","R000575",9,1958,"SO",0.377,0.384,1,0,0
"R",0,0,17896,0,20000,0,8000,0,"AL","A000055",12,1965,"SO",0.403,0.479,1,0,0
"R",0,0,8500,0,5000,0,2500,0,"AL","B001274",5,1954,"SO",0.652,-0.417,1,0,0
"D",0,1,16000,0,10250,0,19500,0,"AL","S001185",5,1965,"SO",-0.398,0.4,0,1,0
"R",0,0,8600,0,27800,0,28011,1500,"AK","Y000033",17,1933,"WE",0.283,0.022,1,0,0
"D",0,NA,18300,0,3605,3025,15970,0,"AZ","K000368",4,1950,"WE",-0.169,-0.01,NA,NA,1
"D",0,1,NA,NA,1500,0,NA,NA,"AZ","G000551",9,1948,"WE",-0.598,-0.264,0,1,0
"R",0,0,19850,0,16000,0,12700,0,"AZ","G000565",5,1958,"WE",0.699,-0.499,1,0,0
"R",0,0,8750,0,NA,NA,23988,2000,"AZ","S001183",5,1962,"WE",0.561,-0.251,1,0,0
"R",0,0,9500,1000,2500,0,10000,0,"AR","C001087",5,1966,"SO",0.457,0.32,1,0,0
"R",0,0,7000,0,11000,0,7000,0,"AR","W000809",5,1957,"SO",0.348,0.621,1,0,0
"R",0,0,17500,0,13400,501,25988,250,"CA","L000578",4,1960,"WE",0.538,0.026,1,0,0
"D",0,1,7400,0,13320,200,6500,0,"CA","H001068",4,1964,"WE",-0.428,-0.527,0,1,0
"D",0,1,4500,1500,3000,0,8000,0,"CA","G000559",6,1945,"WE",-0.309,-0.096,0,1,0
"R",0,0,11450,0,4925,0,13688,0,"CA","M001177",6,1956,"WE",0.682,-0.401,1,0,0
"D",0,1,27385,1500,10000,500,26330,0,"CA","T000460",11,1951,"WE",-0.393,0.068,0,1,0
"D",0,1,27249,3850,4700,5400,24500,0,"CA","M001163",8,1944,"WE",-0.435,-0.146,0,1,0
"D",0,1,2750,250,2550,5400,2250,0,"CA","B001287",4,1965,"WE",-0.241,0.013,0,1,0
"D",0,1,20049,7500,17350,1350,27650,0,"CA","M001166",7,1951,"WE",-0.263,-0.159,0,1,0
"D",0,NA,1000,0,5800,200,27360,0,"CA","P000197",17,1940,"WE",-0.49,-0.197,NA,NA,1
"D",0,1,7100,0,2900,0,650,0,"CA","L000551",12,1946,"WE",-0.677,-0.569,0,1,0
"D",0,1,250,0,0,0,0,0,"CA","S001175",7,1950,"WE",-0.381,-0.41,0,1,0
"D",0,NA,16100,4350,18600,800,25110,0,"CA","S001193",4,1980,"WE",-0.362,-0.077,NA,NA,1
"D",1,0,24114,0,58000,2000,27500,0,"CA","C001059",8,1952,"WE",-0.196,0.458,1,0,0
"D",0,1,3500,0,2150,0,9800,0,"CA","E000215",14,1942,"WE",-0.38,-0.397,0,1,0
"D",0,1,2000,10400,7500,0,3000,700,"CA","L000397",13,1947,"WE",-0.399,-0.419,0,1,0
"R",0,0,43500,1000,56500,250,60257,1500,"CA","N000181",9,1973,"WE",0.45,0.223,1,0,0
"R",0,0,172660,3500,202750,7900,380725,5600,"CA","M001165",7,1965,"WE",0.453,0.233,1,0,0
"D",0,1,4100,250,6015,3,7000,0,"CA","B001285",4,1952,"WE",-0.294,0.051,0,1,0
"D",0,1,5100,1000,0,0,1000,0,"CA","C001080",6,1953,"WE",-0.489,-0.379,0,1,0
"D",0,1,0,0,1000,0,13100,365,"CA","S001150",10,1960,"WE",-0.35,-0.133,0,1,0
"D",0,1,4000,0,13500,0,16000,0,"CA","C001097",4,1963,"WE",-0.395,-0.003,0,1,0
"D",0,1,0,0,3000,0,2000,0,"CA","S000344",12,1954,"WE",-0.343,-0.141,0,1,0
"D",0,1,2000,1500,5500,0,9500,0,"CA","N000179",11,1936,"WE",-0.449,-0.245,0,1,0
"D",0,1,1500,0,5150,250,9300,1000,"CA","R000599",4,1972,"WE",-0.252,0.049,0,1,0
"D",0,1,4750,0,6500,0,19250,0,"CA","B001270",5,1953,"WE",-0.584,-0.098,0,1,0
"D",0,1,5500,500,13500,0,1000,0,"CA","S001156",9,1969,"WE",-0.508,-0.135,0,1,0
"D",0,1,5300,0,2500,0,3000,0,"CA","R000486",14,1941,"WE",-0.469,-0.171,0,1,0
"D",0,1,0,0,2500,0,1000,250,"CA","T000472",4,1960,"WE",-0.465,-0.293,0,1,0
"R",0,0,15600,0,60500,1000,14300,0,"CA","C000059",14,1953,"WE",0.341,0.263,1,0,0
"D",0,1,10400,0,2500,0,0,0,"CA","W000187",15,1938,"WE",-0.656,-0.079,0,1,0
"D",0,1,10500,0,12000,0,7000,0,"CA","L000579",4,1941,"WE",-0.449,-0.384,0,1,0
"R",0,NA,54450,1500,13400,2700,NA,NA,"CA","I000056",9,1953,"WE",0.484,-0.001,NA,NA,1
"D",0,1,7600,0,15800,0,16100,0,"CA","V000130",4,1961,"WE",-0.404,0.048,0,1,0
"D",0,1,15700,0,16395,1025,32550,0,"CA","P000608",4,1958,"WE",-0.188,-0.032,0,1,0
"D",0,1,0,0,4000,1000,1000,0,"CO","D000197",12,1957,"WE",-0.431,-0.303,0,1,0
"R",0,0,20500,0,32250,0,3500,0,"CO","L000564",7,1954,"WE",0.667,0.232,1,0,0
"D",0,1,14700,2500,6450,500,3500,0,"CO","P000593",7,1953,"WE",-0.282,0.072,0,1,0
"D",0,1,10000,1000,7500,1000,8500,0,"CT","L000557",11,1948,"NE",-0.396,-0.047,0,1,0
"D",0,1,8000,0,4000,0,6500,0,"CT","C001069",7,1953,"NE",-0.34,0.03,0,1,0
"D",0,1,NA,NA,5375,0,1350,0,"CT","D000216",15,1943,"NE",-0.414,-0.116,0,1,0
"D",0,1,2500,0,12000,0,100,0,"CT","H001047",6,1966,"NE",-0.24,-0.226,0,1,0
"R",0,0,2000,0,6000,0,16700,0,"FL","P000599",6,1947,"SO",0.531,-0.351,1,0,0
"R",0,0,6500,0,4500,200,1500,0,"FL","W000806",5,1949,"SO",0.525,-0.094,1,0,0
"R",0,0,8500,0,15000,0,14000,0,"FL","B001257",7,1963,"SO",0.419,-0.017,1,0,0
"D",0,1,2500,0,4000,0,2650,2500,"FL","C001066",7,1966,"SO",-0.437,0.06,0,1,0
"R",0,0,6000,0,5000,0,43788,0,"FL","B001260",7,1951,"SO",0.362,-0.095,1,0,0
"D",0,NA,3500,0,2500,0,1500,0,"FL","H000324",14,1936,"SO",-0.564,0.157,NA,NA,1
