"BioID","GovtrackID","opensecrets_id","first_name","last_name","state","district","party","name","Vote_change","Vote_change_dummy","birthday","gender","nominate_dim1","nominate_dim2","Geographical","Instance","Vote","seniority","Contribution_minus","Contribution_plus","Dmajority","anti_env_dummy","pro_env_dummy"
"R000575",400341,"N00024759","Mike D.,Mike","Rogers","AL",3,"R","rogers mike d,rogers mike",0,0,1958,"M",0.377,0.384,"SO","3",0,6,17.5,0,0,1,0
"R000575",400341,"N00024759","Mike D.,Mike","Rogers","AL",3,"R","rogers mike d,rogers mike",0,0,1958,"M",0.377,0.384,"SO","4",0,7,13,0,0,1,0
"R000575",400341,"N00024759","Mike D.,Mike","Rogers","AL",3,"R","rogers mike d,rogers mike",0,0,1958,"M",0.377,0.384,"SO","51",0,8,15,0,0,1,0
"R000575",400341,"N00024759","Mike D.,Mike","Rogers","AL",3,"R","rogers mike d,rogers mike",0,0,1958,"M",0.377,0.384,"SO","52",0,8,14,0,0,1,0
"R000575",400341,"N00024759","Mike D.,Mike","Rogers","AL",3,"R","rogers mike d,rogers mike",0,0,1958,"M",0.377,0.384,"SO","6",0,9,24.3,0,1,1,0
"R000575",400341,"N00024759","Mike D.,Mike","Rogers","AL",3,"R","rogers mike d,rogers mike",0,0,1958,"M",0.377,0.384,"SO","7",0,10,16,0,1,1,0
"A000055",400004,"N00003028","Robert B.,Robert","Aderholt","AL",4,"R","aderholt robert b,aderholt robert",0,0,1965,"M",0.403,0.479,"SO","3",0,9,17.896,0,0,1,0
"A000055",400004,"N00003028","Robert B.,Robert","Aderholt","AL",4,"R","aderholt robert b,aderholt robert",0,0,1965,"M",0.403,0.479,"SO","4",0,10,20,0,0,1,0
"A000055",400004,"N00003028","Robert B.,Robert","Aderholt","AL",4,"R","aderholt robert b,aderholt robert",0,0,1965,"M",0.403,0.479,"SO","51",0,11,26.95,0,0,1,0
"A000055",400004,"N00003028","Robert B.,Robert","Aderholt","AL",4,"R","aderholt robert b,aderholt robert",0,0,1965,"M",0.403,0.479,"SO","52",0,11,27.95,0,0,1,0
"A000055",400004,"N00003028","Robert B.,Robert","Aderholt","AL",4,"R","aderholt robert b,aderholt robert",0,0,1965,"M",0.403,0.479,"SO","6",0,12,8,0,1,1,0
"A000055",400004,"N00003028","Robert B.,Robert","Aderholt","AL",4,"R","aderholt robert b,aderholt robert",0,0,1965,"M",0.403,0.479,"SO","7",0,13,14.75,0,1,1,0
