"party","Vote_change_dummy","Vote7","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_52_minus","Contribution_52_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","state","BioID","seniority_117","birthday","Geographical","nominate_dim1","nominate_dim2","gender","pro_env_dummy","anti_env_dummy","district","Vote7_minus","Vote7_plus","Vote7_NA"
"D",0,1,8,0,4,0,5,0,9.6,0,6.5,0,1,0,"CT","C001069",8,1953,"NE",0.34,0.03,"M",0,1,2,0,1,0
"D",0,1,NA,NA,5.375,0,1.5,0,1.5,0,1.35,0,10.1,0,"CT","D000216",16,1943,"NE",0.414,0.116,"F",0,1,3,0,1,0
"D",0,1,2.5,0,12,0,2,0,4,0,0.1,0,1.2,0,"CT","H001047",7,1966,"NE",0.24,0.226,"M",0,1,4,0,1,0
"R",0,0,2,0,6,0,3,0,3,0,16.7,0,5.8,0,"FL","P000599",7,1947,"SO",0.531,0.351,"M",0,1,8,1,0,0
"R",0,0,6.5,0,4.5,0.2,3.3,0,6.8,0,1.5,0,1.5,0,"FL","W000806",6,1949,"SO",0.525,0.094,"M",0,1,NA,1,0,0
"R",0,0,8.5,0,15,0,46.4,8.9,50.9,8.9,14,0,26,0,"FL","B001257",8,1963,"SO",0.419,0.017,"M",0,1,12,1,0,0
"D",0,1,2.5,0,4,0,1,0,1,0,2.65,2.5,2,0,"FL","C001066",8,1966,"SO",0.437,0.06,"F",0,1,14,0,1,0
"R",0,0,6,0,5,0,15.75,0,23.25,0,43.788,0,35.4,5.9,"FL","B001260",8,1951,"SO",0.362,0.095,"M",1,1,16,1,0,0
"D",0,NA,3.5,0,2.5,0,1,0,2,0,1.5,0,0,0,"FL","H000324",15,1936,"SO",0.564,0.157,"M",0,0,20,NA,NA,1
"D",0,1,11,2.5,0,0,5.8,2,3.3,12.8,6.5,2.8,2.5,0,"FL","D000610",7,1966,"SO",0.401,0.078,"M",0,1,NA,0,1,0
"D",0,1,5.6,0,0,0,1.5,0,1.5,0,2.5,0,2.5,0,"FL","F000462",5,1948,"SO",0.397,0.054,"F",0,1,22,0,1,0
"D",0,1,9.5,5.5,6.4,2.85,21.65,1.5,22.2,0,0,0,0,0,"FL","W000797",9,1966,"SO",0.416,0.088,"F",0,0,NA,0,1,0
"D",0,1,2,0,3.5,0,1.5,0,0,0,1.5,0,2.5,0,"FL","W000808",6,1942,"SO",0.477,0.012,"F",0,1,24,0,1,0
"R",0,0,2.5,0,17,0,12,0,25.3,0,20.1,0,0,0,"FL","D000600",10,1961,"SO",0.284,0.141,"M",0,0,NA,1,0,0
"D",1,1,20,0,17.5,0,13.5,0,18,0,7.5,0,5,0,"GA","B000490",15,1947,"SO",0.285,0.454,"M",0,1,2,0,1,0
"D",0,1,2.5,0,1,0,2.5,0,2.5,0,1.5,0,0,0,"GA","J000288",8,1954,"SO",0.473,0.025,"M",0,0,4,0,1,0
"R",0,0,8.5,0,7,0,7.5,0,2.5,0,2.5,0,NA,NA,"GA","S001189",6,1969,"SO",0.535,0.354,"M",0,0,8,1,0,0
"D",0,1,2.5,0,8.25,0,1,0,1,0,0,0,9.5,0,"GA","S001157",10,1945,"SO",0.304,0.168,"M",0,1,13,0,1,0
"R",0,0,103.694,1,80.6,0,45.2,0,53.2,0,40.1,0,38,0,"ID","S001148",12,1950,"WE",0.297,0.307,"M",0,1,2,1,0,0
"D",0,1,23,0,25.4,0,8,0,10.5,1,35,0,33.5,0,"IL","R000515",15,1946,"MW",0.479,0.203,"M",0,1,1,0,1,0
"D",0,1,3.5,0,7.5,1,2,0,5.5,0,15.5,0,4.75,0,"IL","K000385",5,1956,"MW",0.467,0.023,"F",0,1,2,0,1,0
"D",0,1,2,0,4.5,1,1,0,1.5,0,0,0,1,0,"IL","Q000023",7,1958,"MW",0.324,0.259,"M",0,1,5,0,1,0
"D",0,1,7.5,0,5.5,5,7,0,7,0,9,0,5,1,"IL","D000096",13,1941,"MW",0.486,0.26,"M",1,1,7,0,1,0
"D",0,1,0,3.6,3,0,0.15,2.375,0.15,2.375,0,1.275,0.175,0,"IL","S001145",12,1944,"MW",0.603,0.276,"F",0,1,9,0,1,0
"D",0,1,5.5,0,NA,NA,3,0,3.05,0,8.5,0,6.95,0,"IL","S001190",4,1961,"MW",0.187,0.14,"M",0,1,10,0,1,0
"D",0,1,12.85,4.85,15.7,1.2,12.95,2.8,11.45,3.4,9.2,0,3.4,1,"IL","F000454",7,1955,"MW",0.233,0.215,"M",1,1,11,0,1,0
"R",0,0,39.805,1.5,24.9,5,38.95,9,47.95,10.5,62.064,0,38.633,0,"IL","D000619",5,1970,"MW",0.279,0.17,"M",0,1,13,1,0,0
"R",0,0,69.85,5,68.4,4.5,44.45,1,60.7,2,61.8,0,94.6,9.4,"IL","K000378",6,1978,"MW",0.234,0.382,"M",1,1,16,1,0,0
"D",0,1,9.75,1,10.325,4.341,16.765,2.4,18.628,3.475,54.25,4,10.15,0,"IL","B001286",5,1961,"MW",0.239,0.054,"F",0,1,17,0,1,0
"R",0,0,19.1,4.6,26.75,5,35,1,33,1,31.488,0,10.5,0,"IN","W000813",5,1963,"MW",0.436,0.315,"F",0,1,2,1,0,0
"D",0,1,3.25,0,2.25,0,0,0.6,3,0.6,0,0.7,NA,NA,"IN","C001072",8,1974,"MW",0.43,0.04,"M",0,0,7,0,1,0
"R",0,0,28.35,0,28.45,0,25.5,1,24.5,1,6.25,0,14,0.5,"IN","B001275",6,1962,"MW",0.383,0.373,"M",1,1,8,1,0,0
"R",0,0,32.5,0,23.5,0,24.3,0,23.3,0,27,0,10,0,"KY","G000558",7,1964,"SO",0.426,0.275,"M",0,1,2,1,0,0
"D",0,1,4,0,1.5,0,1.5,1,1.5,2,0,0,5,0,"KY","Y000062",8,1947,"SO",0.378,0.275,"M",0,1,3,0,1,0
"R",0,0,8.6,0,6,0,2,0,0,0,6,0,0,0,"KY","M001184",6,1971,"SO",0.678,0.735,"M",0,0,4,1,0,0
"R",0,0,44.8,0,20.5,0,17.5,0,24.5,0,1,0,3.45,0,"KY","R000395",18,1937,"SO",0.334,0.142,"M",0,1,5,1,0,0
"R",0,NA,107.75,0,53.55,0,100.221,7.587,119.927,7.587,42.073,0,43.333,0,"KY","B001282",5,1973,"SO",0.484,0.294,"M",0,1,6,NA,NA,1
"R",0,0,91.5,0,94.15,0,149.825,9.1,168.1,6.4,155.465,0.75,116.157,1.985,"LA","S001176",8,1965,"SO",0.559,0.15,"M",1,1,1,1,0,0
"D",0,NA,19.1,0,30.25,0,31.5,0,34,0,52.8,0,NA,NA,"LA","R000588",6,1973,"SO",0.486,0.332,"M",0,0,2,NA,NA,1
"D",0,1,0.25,0,1.25,1,1.075,0.001,1.11,0.001,1,0,0,0,"ME","P000597",7,1955,"NE",0.421,0.36,"F",0,0,1,0,1,0
"R",0,0,34.2,0,8.5,0,10.35,0,12.35,0,0.25,0,0.5,0,"MD","H001052",6,1957,"SO",0.671,0.374,"M",0,1,1,1,0,0
"D",0,1,13.75,0,4,0,4.75,0,7.25,0,8,2.8,2.5,0,"MD","R000576",10,1946,"SO",0.297,0.127,"M",0,1,2,0,1,0
"D",0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,"MD","S001168",8,1962,"SO",0.465,0.071,"M",0,0,3,0,1,0
"D",0,1,75,0,107.75,4.5,86.5,0.25,96.25,0.25,121.5,0,90,0,"MD","H000874",18,1939,"SO",0.381,0.121,"M",0,1,5,0,1,0
"D",0,1,9,1,17,0,7.5,0.25,26,3.25,66.2,1,40.6,1,"MA","N000015",17,1949,"NE",0.417,0.105,"M",1,1,1,0,1,0
"D",0,1,5,5.2,2.51,0,1,0.107,6.25,0.357,0.25,5.6,0.5,0,"MA","M000312",13,1959,"NE",0.538,0.323,"M",0,1,2,0,1,0
"D",0,1,3.7,0.25,0,0,2.75,0,3.25,2.5,0,0,0.75,0,"MA","L000562",11,1955,"NE",0.348,0.037,"M",0,1,8,0,1,0
"D",0,1,3.5,0,10,0,9.5,0,10.5,0,2,0,0,0,"MA","K000375",6,1952,"NE",0.33,0.112,"M",0,0,9,0,1,0
"R",0,0,12.3,0,22.05,0,26,0,25.5,0,26.988,0,9,0,"MI","H001058",6,1969,"MW",0.536,0.026,"M",0,1,NA,1,0,0
"D",0,1,10,0,10.6,0,5.5,0,6.5,0,17.8,0,24.5,0.5,"MI","K000380",5,1958,"MW",0.367,0.174,"M",1,1,NA,0,1,0
"R",1,1,135.35,1,142.613,0,28.2,0,94.75,0,51.788,0,33.233,0,"MI","U000031",18,1953,"MW",0.32,0.355,"M",0,1,6,0,1,0
"R",0,0,26.05,0,43.75,0,63.45,0,82.05,0,73.238,0,25.2,0,"MI","W000798",7,1951,"MW",0.501,0.142,"M",0,1,NA,1,0,0
"D",0,1,1,0,1,0,1.5,0.25,1.5,0.25,NA,NA,3.75,0,"MN","M001143",11,1954,"MW",0.417,0.193,"F",0,1,4,0,1,0
"D",0,1,11.5,0,26.5,0,19,0,8.5,0,11.5,0,12,0,"MS","T000193",15,1948,"SO",0.517,0.395,"M",0,1,2,0,1,0
"R",0,0,32,0,31.5,0,23,0,18,0,20.9,0,16.7,0,"MS","P000601",6,1970,"SO",0.535,0.45,"M",0,1,4,1,0,0
"R",0,0,51.85,0,17.5,0,27,0.4,29.1,0.4,23.011,0,18.133,0,"MO","W000812",5,1962,"MW",0.393,0.284,"F",0,1,2,1,0,0
"R",0,0,5.5,0,7.5,2.5,8.25,0.5,11.25,0.5,6,0,1,0,"MO","L000569",7,1952,"MW",0.452,0.23,"M",0,1,3,1,0,0
"R",0,0,11.2,0,5,0,10,2.5,7,0,10.3,0,32.05,0,"MO","H001053",6,1960,"MW",0.478,0.229,"F",0,1,4,1,0,0
"D",0,1,5,0,3,1,1.5,3.7,1.5,3.7,4.5,0,0,0,"MO","C001061",9,1944,"MW",0.453,0.009,"M",0,0,5,0,1,0
"R",0,0,8.75,2,9,1,18.52,3.5,23.32,6,43,1,19.4,0,"MO","G000546",11,1963,"MW",0.447,0.167,"M",0,1,6,1,0,0
"R",0,0,48.65,0,22,0,25.5,0,26,2,45,0,NA,NA,"MO","L000576",6,1955,"MW",0.544,0.244,"M",0,0,7,1,0,0
"R",0,0,35.465,0,24.6,6,26.5,2,35.5,2,25,0,20.3,0,"MO","S001195",5,1980,"MW",0.581,0.254,"M",0,1,8,1,0,0
"R",0,0,3.5,0,3.5,0,6.7,1,6.7,1,3.5,0,7.4,0,"NE","F000449",9,1960,"MW",0.304,0.061,"M",0,1,1,1,0,0
"R",0,0,9,1.5,7.75,5,12.45,7,14.95,8,21.5,0,9,0,"NE","S001172",8,1970,"MW",0.513,0.233,"M",0,1,3,1,0,0
"D",0,1,4.75,1,6,5.5,3.5,0,0,0,3.5,0,2.5,0,"NV","T000468",6,1950,"WE",0.299,0.193,"F",0,1,1,0,1,0
"R",0,0,13,0,19.7,0,31.5,0,40,0,14.75,0,6.112,0,"NV","A000369",6,1958,"WE",0.387,0.196,"M",0,1,2,1,0,0
"D",0,1,11.25,0.5,NA,NA,NA,NA,NA,NA,23.1,0,9.5,1,"NV","H001066",3,1973,"WE",0.342,0.135,"M",1,1,4,0,1,0
"D",0,1,2.5,6.95,8.5,1,5.2,3.7,4.6,0,6.75,0,4.85,1.5,"NH","K000382",5,1956,"NE",0.26,0.098,"F",1,1,2,0,1,0
"R",1,0,1.5,0,NA,NA,8.099,0,8.099,0,10.988,0,0,0,"NJ","S000522",18,1953,"NE",0.178,0.173,"M",0,0,4,1,0,0
"D",0,1,26.088,2.5,12.499,1,24.75,20.25,24.5,20,80.55,2.5,42.15,0,"NJ","P000034",18,1951,"NE",0.404,0.168,"M",0,1,6,0,1,0
"D",0,1,1,0,NA,NA,1,0,1,0,2.5,0,2,0,"NJ","S001165",9,1951,"NE",0.404,0.098,"M",0,1,8,0,1,0
"D",0,1,10,0,7.5,6,2,0,5.5,0,16.75,1,5,0,"NJ","P000096",13,1937,"NE",0.368,0.006,"M",0,1,9,0,1,0
"D",0,1,8.85,0,7.6,0,8,0,8,0,13,0,18.5,0,"NJ","P000604",6,1958,"NE",0.52,0.097,"M",0,1,10,0,1,0
"D",0,1,8.5,0,7,0,4.5,3.5,4.5,3.5,5,0,18.25,0,"NY","M001137",13,1953,"NE",0.415,0.072,"M",0,1,5,0,1,0
"D",0,1,0.5,0.5,1.5,0.5,0.75,0.6,0.75,0.6,0,0,3,0,"NY","M001188",5,1975,"NE",0.376,0.217,"F",0,1,6,0,1,0
"D",0,1,2,0,0,0,1,0,1,0,3.25,0,0,0,"NY","V000081",15,1953,"NE",0.547,0.351,"F",0,0,7,0,1,0
"D",0,1,2,1,5,0,4.5,0,5,0,3.5,0,25.35,2,"NY","J000294",5,1970,"NE",0.486,0.072,"M",1,1,8,0,1,0
"D",0,1,0,0,5,0,17,0,18,0,4.5,0,5.2,0,"NY","C001067",8,1964,"NE",0.609,0.246,"F",0,1,9,0,1,0
"D",0,1,0.25,0,0,0,1,0,1,0,1,0,1,0,"NY","N000002",16,1947,"NE",0.508,0.484,"M",0,1,NA,0,1,0
"D",0,1,0,0,13.3,0,3.6,0,3.1,0,6.4,0.25,12.35,0,"NY","M000087",15,1946,"NE",0.387,0.285,"F",0,1,12,0,1,0
"D",0,1,20.5,4.55,12.05,3.175,15.925,2.4,17.45,3.538,86.55,3.8,60.75,2.548,"NY","T000469",7,1949,"NE",0.415,0.268,"M",1,1,20,0,1,0
"R",1,1,85.75,4.25,77.325,18,40.925,0.5,32.425,0,45.288,0,13.3,0,"NY","R000585",7,1971,"NE",0.269,0.12,"M",0,1,23,0,1,0
"D",0,1,1,0,2,0,6.5,0,3,0,5,0,7.85,0,"NY","H001038",9,1959,"NE",0.348,0.032,"M",0,1,26,0,1,0
"D",0,1,11,0,6,1,7,0,8.5,1,4.5,0,7,0,"NC","B001251",10,1947,"SO",0.404,0.184,"M",0,1,1,0,1,0
"D",0,1,1,0,5,0,3.5,0.25,7.5,0.25,1,0,4.5,0,"NC","P000523",17,1940,"SO",0.343,0.03,"M",0,1,4,0,1,0
"R",0,0,5.5,1,11.073,0.5,26,0.5,29,0.5,21,0,0.5,0,"NC","F000450",9,1943,"SO",0.623,0.18,"F",0,1,5,1,0,0
"R",0,0,18.25,0.3,94.65,0,45.5,0.25,35,0,58.188,0,17.07,0,"NC","H001067",5,1971,"SO",0.526,0.178,"M",0,1,NA,1,0,0
"R",0,0,6,0,47.5,0,40,4.2,54.4,11.2,17.5,0,22.5,0,"NC","M001156",9,1975,"SO",0.529,0.131,"M",0,1,10,1,0,0
"R",0,0,4.5,0,7.1,0,12.1,0.1,16.6,0.6,13.878,0,0.67,0,"OH","C000266",13,1953,"MW",0.542,0.137,"M",0,1,1,1,0,0
"R",0,0,16.6,0.3,13.1,0.1,4.565,0,7.195,0.1,20.5,0,6.1,0,"OH","W000815",5,1958,"MW",0.528,0.268,"M",0,1,2,1,0,0
"D",0,1,10.1,0,24,0,13,0,14,0,17.25,0,29.85,0,"OH","B001281",5,1950,"MW",0.439,0.042,"F",0,1,3,0,1,0
"R",0,0,15.95,0,8.5,0,8,0,7,0,18.55,0,11.33,0.3,"OH","J000289",8,1964,"MW",0.717,0.198,"M",1,1,4,1,0,0
"R",0,0,48.85,10.45,36.75,0,69.575,2.5,72.825,0,36.25,0,41.5,0,"OH","L000566",8,1956,"MW",0.51,0.28,"M",0,1,5,1,0,0
"R",0,0,144.635,4.6,99.45,12.5,100.1,0,119.6,1.75,101.35,0,33.349,0,"OH","J000292",6,1954,"MW",0.436,0.235,"M",0,1,6,1,0,0
"R",0,0,55.15,0.5,13.5,0.5,16.5,1,23,1,12.5,0,0,0,"OH","G000563",6,1954,"MW",0.484,0.284,"M",0,0,7,1,0,0
"D",0,1,23.1,1,17.5,0,10,0.25,8.5,0.25,22.5,3,12.25,0,"OH","K000009",18,1946,"MW",0.348,0.117,"F",0,1,9,0,1,0
"R",0,0,7.5,0,24.95,0,3.5,0,4.5,0,12.011,0,12,0,"OH","T000463",10,1960,"MW",0.269,0.245,"M",0,1,10,1,0,0
"D",0,NA,12.75,0,21.5,0,5,0,5,0,4,0,0,0,"OH","F000455",8,1952,"MW",0.581,0.14,"F",0,0,11,NA,NA,1
"D",0,1,27,0,20.5,0,16.9,0,16.9,0,11.25,0.5,29.407,4.135,"OH","R000577",10,1973,"MW",0.402,0.208,"M",1,1,13,0,1,0
"R",0,0,32.9,0.5,25.8,2.3,37.525,0,62.625,0.25,45.311,0,25.4,0,"OH","J000295",5,1957,"MW",0.256,0.301,"M",0,1,14,1,0,0
"R",0,NA,46.7,0,41.6,0,85.15,0,93.65,0,63.3,0,28.4,0,"OH","S001187",6,1965,"MW",0.3,0.269,"M",0,1,15,NA,NA,1
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OK","M001190",NA,NA,"SO",NA,NA,NA,0,0,2,1,0,0
"R",0,0,49.55,0,23.5,0,21,0,18.5,0,15.5,0,8.8,0,"OK","L000491",15,1960,"SO",0.36,0.449,"M",0,1,3,1,0,0
"R",0,0,58,0,68.75,0,31.2,2.793,49,3.95,86.5,3,2.5,0,"OK","C001053",10,1949,"SO",0.324,0.4,"M",0,1,4,1,0,0
"D",0,1,1.5,0,2.75,0,2.5,0,2.5,0,1,0,6.25,0,"OR","B001278",6,1954,"WE",0.396,0.41,"F",0,1,1,0,1,0
"D",0,1,5.75,7.75,8.25,8.95,14.75,9.125,14.5,9.225,0.75,0,0.25,0.5,"OR","B000574",14,1948,"WE",0.427,0.641,"M",1,1,3,0,1,0
"D",0,1,2.5,0.5,0.25,0,4.05,0,2.575,0,6.5,0,14.5,0,"OR","D000191",18,1947,"WE",0.427,0.002,"M",0,1,4,0,1,0
"D",0,1,5,1.05,29.75,0,29,0,38.5,0,43,0,55.5,0,"OR","S001180",7,1951,"WE",0.182,0.054,"M",0,1,5,0,1,0
"R",0,0,65.75,0,30.85,2.7,32.8,2.7,40.8,5.4,53.738,0,19.9,0,"PA","K000376",6,1948,"NE",0.373,0.41,"M",0,1,NA,1,0,0
"R",0,0,9.5,0,22.5,0,23.2,0,32.2,0,13.2,3.5,3.133,0,"PA","P000605",5,1962,"NE",0.677,0.461,"M",0,1,NA,1,0,0
"R",0,0,34.63,0,36,0,33.1,0,34.6,0,20.55,0,15.1,0,"PA","T000467",7,1959,"NE",0.331,0.357,"M",0,1,NA,1,0,0
"D",0,1,37.5,0,42,0,6,2.7,13,5.4,43,0,8,0,"PA","D000482",14,1953,"NE",0.331,0.099,"M",0,1,NA,0,1,0
"D",0,1,0,0.5,1,0,5,0,2.5,1,3,0,6.5,0,"PA","C001090",5,1961,"NE",0.349,0.005,"M",0,1,NA,0,1,0
"D",0,1,2.25,1,0.5,1,0.46,0,0.48,0,1.055,0,1,5.8,"RI","C001084",6,1961,"NE",0.389,0.262,"M",1,1,1,0,1,0
"D",0,1,3.05,0,5,0,1.3,0,1.3,0,0.3,0,2,0,"RI","L000559",11,1964,"NE",0.375,0.114,"M",0,1,2,0,1,0
