congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
115,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,
115,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.377,0.384,-101.58216,0.89798,944,65,,0.397,0.482
115,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.398,0.4,-90.01225,0.90513,903,33,,-0.398,0.356
115,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.362,0.658,-65.06628,0.93305,939,23,,0.41,0.596
115,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.652,-0.417,-175.7437,0.8235,905,80,,0.672,-0.553
115,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.61,0.25,-63.13015,0.9361,956,19,,0.577,0.429
115,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.679,0.102,-72.23324,0.92634,944,40,,0.763,0.066
115,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.403,0.479,-68.54167,0.92813,919,19,,0.395,0.605
115,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-204.73558,0.80164,926,92,,0.277,0.315
115,House,20304,61,8,AZ,200,,,"FRANKS, Trent",F000448,1957,,0.749,0.087,-45.67247,0.91933,543,23,,0.621,-0.006
115,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.264,-43.24881,0.95364,911,11,,-0.632,-0.216
115,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.699,-0.499,-165.0106,0.83416,910,85,,0.991,-0.136
115,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.561,-0.251,-112.48822,0.88877,954,37,,0.586,-0.294
115,House,21300,61,9,AZ,100,,,"SINEMA, Kyrsten",S001191,1976,,-0.105,0.076,-262.73192,0.74413,889,133,,-0.097,0.124
115,House,21501,61,2,AZ,200,,,"McSALLY, Martha",M001197,1966,,0.345,0.027,-141.95528,0.8597,939,84,,0.391,-0.029
115,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.418,0.069,-100.42864,0.89774,931,44,,-0.432,-0.01
115,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.827,-0.562,-182.38385,0.82615,955,104,,0.991,-0.136
115,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.198,0.18,-197.9653,0.81207,951,84,,-0.167,0.128
115,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.614,-0.077,-26.89774,0.89603,245,12,,0.718,-0.054
115,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.457,0.32,-59.50806,0.93782,927,18,,0.495,0.285
115,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.348,0.621,-70.16976,0.92937,958,22,,0.437,0.349
115,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.437,0.27,-94.63192,0.9049,947,49,,0.494,0.204
