"last_name","first_name","state","opensecrets_id","bioguide_id","district","Industry_Type","total"
"Abraham","Ralph","LA","N00036633","A000374",5,"-",10700
"Abraham","Ralph","LA","N00036633","A000374",5,"+",0
"Adams","Alma","NC","N00035451","A000370",12,"-",6500
"Adams","Alma","NC","N00035451","A000370",12,"+",0
"Aderholt","Robert","AL","N00003028","A000055",4,"-",26950
"Aderholt","Robert","AL","N00003028","A000055",4,"+",0
"Aguilar","Pete","CA","N00033997","A000371",33,"-",13440
"Aguilar","Pete","CA","N00033997","A000371",33,"+",750
"Allen","Rick","GA","N00033720","A000372",12,"-",6000
"Allen","Rick","GA","N00033720","A000372",12,"+",0
"Amodei","Mark","NV","N00031177","A000369",2,"-",31500
"Amodei","Mark","NV","N00031177","A000369",2,"+",0
"Arrington","Jodey","TX","N00038285","A000375",19,"-",27000
"Arrington","Jodey","TX","N00038285","A000375",19,"+",5000
"Babin","Brian","TX","N00005736","B001291",36,"-",26100
"Babin","Brian","TX","N00005736","B001291",36,"+",0
"Bacon","Don","NE","N00037049","B001298",2,"-",42527
"Bacon","Don","NE","N00037049","B001298",2,"+",10287
"Balderson","Troy","OH","N00042194","B001306",12,"-",57050
"Balderson","Troy","OH","N00042194","B001306",12,"+",5450
"Banks","Jim","IN","N00037185","B001299",3,"-",16000
"Banks","Jim","IN","N00037185","B001299",3,"+",0
"Barletta","Lou","PA","N00025495","B001269",11,"-",86525
"Barletta","Lou","PA","N00025495","B001269",11,"+",900
"Barr","Garland","KY","N00031233","B001282",6,"-",99221
"Barr","Garland","KY","N00031233","B001282",6,"+",7287
"Barragán","Nanette","CA","N00037019","B001300",44,"-",4500
"Barragán","Nanette","CA","N00037019","B001300",44,"+",115
"Barton","Joe","TX","N00005656","B000213",6,"-",-3550
"Barton","Joe","TX","N00005656","B000213",6,"+",0
"Bass","Karen","CA","N00031877","B001270",37,"-",1900
"Bass","Karen","CA","N00031877","B001270",37,"+",0
"Beatty","Joyce","OH","N00033904","B001281",3,"-",13000
"Beatty","Joyce","OH","N00033904","B001281",3,"+",0
"Bera","Ami","CA","N00030717","B001287",6,"-",2650
"Bera","Ami","CA","N00030717","B001287",6,"+",2470
"Bergman","Jack","MI","N00039533","B001301",1,"-",29750
"Bergman","Jack","MI","N00039533","B001301",1,"+",0
"Beyer","Donald","VA","N00036018","B001292",8,"-",11200
"Beyer","Donald","VA","N00036018","B001292",8,"+",1000
"Biggs","Andy","AZ","N00039293","B001302",5,"-",15400
"Biggs","Andy","AZ","N00039293","B001302",5,"+",0
"Bilirakis","Gus","FL","N00027462","B001257",12,"-",46400
"Bilirakis","Gus","FL","N00027462","B001257",12,"+",8900
"Bishop","Mike","MI","N00036449","B001293",8,"-",58709
