"last_name","first_name","birthday","gender","type","state","district","bioguide_id","opensecrets_id"
"Richmond","Cedric",1973-09-13,"M","rep","LA",2,"R000588","N00030184"
"Wright","Ron",1953-04-08,"M","rep","TX",6,"W000827","N00042240"
"Fudge","Marcia",1952-10-29,"F","rep","OH",11,"F000455","N00030490"
"Haaland","Debra",1960-12-02,"F","rep","NM",1,"H001080","N00040933"
"Hastings","Alcee",1936-09-05,"M","rep","FL",20,"H000324","N00002884"
"Stivers","Steve",1965-03-24,"M","rep","OH",15,"S001187","N00029574"
"Nunes","Devin",1973-10-01,"M","rep","CA",22,"N000181","N00007248"
"Hagedorn","Jim",1962-08-04,"M","rep","MN",1,"H001088","N00031390"
"Young","Don",1933-06-09,"M","rep","AK",0,"Y000033","N00007999"
"Fortenberry","Jeff",1960-12-27,"M","rep","NE",1,"F000449","N00026631"
"Vela","Filemon",1963-02-13,"M","rep","TX",34,"V000132","N00034349"
"Reed","Tom",1971-11-18,"M","rep","NY",23,"R000585","N00030949"
"Delgado","Antonio",1977-01-28,"M","rep","NY",19,"D000630","N00040741"
"Walorski","Jackie",1963-08-17,"F","rep","IN",2,"W000813","N00031226"
"Crist","Charlie",1956-07-24,"M","rep","FL",13,"C001111","N00002942"
"Deutch","Theodore",1966-05-07,"M","rep","FL",22,"D000610","N00031317"
"McEachin","A.",1961-10-10,"M","rep","VA",4,"M001200","N00039327"
"Bass","Karen",1953-10-03,"F","rep","CA",37,"B001270","N00031877"
"Brady","Kevin",1955-04-11,"M","rep","TX",8,"B000755","N00005883"
"Brooks","Mo",1954-04-29,"M","rep","AL",5,"B001274","N00030910"
"Butterfield","George",1947-04-27,"M","rep","NC",1,"B001251","N00027035"
"Chabot","Steve",1953-01-22,"M","rep","OH",1,"C000266","N00003689"
"Cooper","Jim",1954-06-19,"M","rep","TN",5,"C000754","N00003132"
"DeFazio","Peter",1947-05-27,"M","rep","OR",4,"D000191","N00007781"
"Doyle","Michael",1953-08-05,"M","rep","PA",18,"D000482","N00001373"
"Gibbs","Bob",1954-06-14,"M","rep","OH",7,"G000563","N00031128"
"Gohmert","Louie",1953-08-18,"M","rep","TX",1,"G000552","N00026148"
"Hartzler","Vicky",1960-10-13,"F","rep","MO",4,"H001053","N00031005"
"Herrera Beutler","Jaime",1978-11-03,"F","rep","WA",3,"H001056","N00031559"
"Johnson","Eddie",1935-12-03,"F","rep","TX",30,"J000126","N00008122"
"Kind","Ron",1963-03-16,"M","rep","WI",3,"K000188","N00004403"
"Kinzinger","Adam",1978-02-27,"M","rep","IL",16,"K000378","N00030667"
"Langevin","James",1964-04-22,"M","rep","RI",2,"L000559","N00009724"
