"last_name","first_name","birthday","gender","type","state","district","bioguide_id","opensecrets_id"
"Nunnelee","Alan",1958-10-09,"M","rep","MS",1,"N000186","N00031006"
"Schock","Aaron",1981-05-28,"M","rep","IL",18,"S001179","N00029273"
"Boehner","John",1949-11-17,"M","rep","OH",8,"B000589","N00003675"
"Fattah","Chaka",1956-11-21,"M","rep","PA",2,"F000043","N00001746"
"Whitfield","Ed",1943-05-25,"M","rep","KY",1,"W000413","N00003467"
"Takai","Mark",1967-07-01,"M","rep","HI",1,"T000473","N00035535"
"Hahn","Janice",1952-03-30,"F","rep","CA",44,"H001063","N00006806"
"Miller","Candice",1954-05-07,"F","rep","MI",10,"M001150","N00009795"
"Benishek","Dan",1952-04-20,"M","rep","MI",1,"B001271","N00031934"
"Boustany","Charles",1956-02-21,"M","rep","LA",3,"B001255","N00026595"
"Brown","Corrine",1946-11-11,"F","rep","FL",5,"B000911","N00002713"
"Capps","Lois",1938-01-10,"F","rep","CA",24,"C001036","N00007232"
"Carney","John",1956-05-20,"M","rep","DE",0,"C001083","N00030736"
"Crenshaw","Ander",1944-09-01,"M","rep","FL",4,"C001045","N00012739"
"Edwards","Donna",1958-06-28,"F","rep","MD",4,"E000290","N00028249"
"Ellmers","Renee",1964-02-09,"F","rep","NC",2,"E000291","N00031513"
"Farr","Sam",1941-07-04,"M","rep","CA",20,"F000030","N00007312"
"Fincher","Stephen",1973-02-07,"M","rep","TN",8,"F000458","N00031141"
"Fitzpatrick","Michael",1963-06-28,"M","rep","PA",8,"F000451","N00027229"
"Fleming","John",1951-07-05,"M","rep","LA",4,"F000456","N00029679"
"Forbes","J.",1952-02-17,"M","rep","VA",4,"F000445","N00013799"
"Garrett","Scott",1959-07-09,"M","rep","NJ",5,"G000548","N00000743"
"Gibson","Christopher",1964-05-13,"M","rep","NY",19,"G000564","N00031998"
"Hanna","Richard",1951-01-25,"M","rep","NY",22,"H001051","N00030197"
"Heck","Joseph",1961-10-30,"M","rep","NV",3,"H001055","N00031244"
"Hinojosa","Rubén",1940-08-20,"M","rep","TX",15,"H000636","N00006008"
"Honda","Michael",1941-06-27,"M","rep","CA",17,"H001034","N00012611"
"Huelskamp","Tim",1968-11-11,"M","rep","KS",1,"H001057","N00027649"
"Hurt","Robert",1969-06-16,"M","rep","VA",5,"H001060","N00031265"
"Israel","Steve",1958-05-30,"M","rep","NY",3,"I000057","N00013345"
"Kline","John",1947-09-06,"M","rep","MN",2,"K000363","N00004436"
"McDermott","Jim",1936-12-28,"M","rep","WA",7,"M000404","N00009829"
"Mica","John",1943-01-27,"M","rep","FL",7,"M000689","N00002793"
"Miller","Jeff",1959-06-27,"M","rep","FL",1,"M001144","N00013846"
"Neugebauer","Randy",1949-12-24,"M","rep","TX",19,"N000182","N00026043"
"Nugent","Richard",1951-05-26,"M","rep","FL",11,"N000185","N00032441"
"Pitts","Joseph",1939-10-10,"M","rep","PA",16,"P000373","N00001633"
"Rangel","Charles",1930-06-11,"M","rep","NY",13,"R000053","N00000964"
"Ribble","Reid",1956-04-05,"M","rep","WI",8,"R000587","N00030968"
"Rigell","Edward",1960-05-28,"M","rep","VA",2,"R000589","N00030962"
"Sanchez","Loretta",1960-01-07,"F","rep","CA",46,"S000030","N00008274"
"Stutzman","Marlin",1976-08-31,"M","rep","IN",3,"S001188","N00030891"
"Westmoreland","Lynn",1950-04-02,"M","rep","GA",3,"W000796","N00026163"
"Salmon","Matt",1958-01-21,"M","rep","AZ",5,"S000018","N00006446"
"Grayson","Alan",1958-03-13,"M","rep","FL",9,"G000556","N00028418"
"Murphy","Patrick",1983-03-30,"M","rep","FL",18,"M001191","N00033091"
"Jolly","David",1972-10-31,"M","rep","FL",13,"J000296","N00035717"
"Clawson","Curtis",1959-09-28,"M","rep","FL",19,"C001102","N00035854"
"Dold","Bob",1969-06-23,"M","rep","IL",10,"D000613","N00031103"
"Guinta","Frank",1970-09-26,"M","rep","NH",1,"G000570","N00030801"
"Graham","Gwen",1963-01-31,"F","rep","FL",2,"G000575","N00035688"
"Ashford","Brad",1949-11-10,"M","rep","NE",2,"A000373","N00005293"
"Hardy","Cresent",1957-06-23,"M","rep","NV",4,"H001070","N00035628"
