"member_id","party","state","member","last_name","first_name","alias"
"A000009","Republican","South Dakota","Abdnor, James","Abdnor"," James",NA
"A000014","Democratic","Hawaii","Abercrombie, Neil","Abercrombie"," Neil",NA
"A000017","Democratic","South Dakota","Abourezk, James","Abourezk"," James",NA
"A000374","Republican","Louisiana","Abraham, Ralph Lee","Abraham"," Ralph Lee",NA
"A000355","Republican","Michigan","Abraham, Spencer","Abraham"," Spencer",NA
"A000018","Democratic","New York","Abzug, Bella S.","Abzug"," Bella S.",NA
"A000359","Democratic","Puerto Rico","Acevedo-Vila, Anibal","Acevedo-Vila"," Anibal",NA
"A000022","Democratic","New York","Ackerman, Gary L.","Ackerman"," Gary L.",NA
"A000370","Democratic","North Carolina","Adams, Alma S.","Adams"," Alma S.",NA
"A000031","Democratic","Washington","Adams, Brock","Adams"," Brock",NA
"A000366","Republican","Florida","Adams, Sandy","Adams"," Sandy",NA
"A000052","Democratic","New York","Addabbo, Joseph P.","Addabbo"," Joseph P.",NA
"A000055","Republican","Alabama","Aderholt, Robert B.","Aderholt"," Robert B.",NA
"A000364","Democratic","New Jersey","Adler, John H.","Adler"," John H.",NA
"A000371","Democratic","California","Aguilar, Pete","Aguilar"," Pete",NA
"A000062","Republican","Vermont","Aiken, George","Aiken"," George",NA
"A000069","Democratic","Hawaii","Akaka, Daniel K.","Akaka"," Daniel K.",NA
"A000358","Republican","Missouri","Akin, W. Todd","Akin"," W. Todd",NA
"A000073","Democratic","Oklahoma","Albert, Carl","Albert"," Carl",NA
"A000076","Democratic","Michigan","Albosta, Donald J.","Albosta"," Donald J.",NA
"A000103","Democratic","Arkansas","Alexander, Bill","Alexander"," Bill",NA
"A000360","Republican","Tennessee","Alexander, Lamar","Alexander"," Lamar",NA
"A000361","Republican","Louisiana","Alexander, Rodney","Alexander"," Rodney",NA
"A000379","Republican","Missouri","Alford, Mark","Alford"," Mark",NA
"A000109","Republican","Colorado","Allard, Wayne","Allard"," Wayne",NA
"A000118","Democratic","Tennessee","Allen, Clifford R.","Allen"," Clifford R.",NA
"A000121","Republican","Virginia","Allen, George","Allen"," George",NA
"A000127","Democratic","Alabama","Allen, James B.","Allen"," James B.",NA
"A000139","Democratic","Alabama","Allen, Maryon","Allen"," Maryon",NA
"A000372","Republican","Georgia","Allen, Rick W.","Allen"," Rick W.",NA
"A000357","Democratic","Maine","Allen, Thomas H.","Allen"," Thomas H.",NA
"A000376","Democratic","Texas","Allred, Colin Z.","Allred"," Colin Z.",NA
"A000362","Democratic","Pennsylvania","Altmire, Jason","Altmire"," Jason",NA
"A000367","Libertarian","Michigan","Amash, Justin","Amash"," Justin",NA
"A000170","Democratic","New York","Ambro, Jerome A.","Ambro"," Jerome A.",NA
"A000177","Democratic","Pennsylvania","Ammerman, Joseph S.","Ammerman"," Joseph S.",NA
"A000380","Democratic","Rhode Island","Amo, Gabe","Amo"," Gabe",NA
"A000369","Republican","Nevada","Amodei, Mark E.","Amodei"," Mark E.",NA
"A000189","Democratic","California","Anderson, Glenn M.","Anderson"," Glenn M.",NA
"A000195","Republican","Illinois","Anderson, John B.","Anderson"," John B.",NA
"A000202","Democratic","Minnesota","Anderson, Wendell R.","Anderson"," Wendell R.",NA
"A000207","Democratic","North Carolina","Andrews, Ike","Andrews"," Ike",NA
"A000208","Republican","North Dakota","Andrews, Mark","Andrews"," Mark",NA
"A000209","Democratic","Texas","Andrews, Michael","Andrews"," Michael",NA
"A000210","Democratic","New Jersey","Andrews, Robert E.","Andrews"," Robert E.",NA
"A000211","Democratic","Maine","Andrews, Thomas H.","Andrews"," Thomas H.",NA
"A000212","Democratic","Illinois","Annunzio, Frank","Annunzio"," Frank",NA
"A000213","Democratic","Arkansas","Anthony, Beryl, Jr.","Anthony"," Beryl",NA
