"last_name","first_name","state","opensecrets_id","bioguide_id","district","birthday","gender","nominate_dim1","nominate_dim2","Industry_Type","seniority_113","seniority_114","seniority_115","seniority_116","seniority_117","total"
"Adams","Alma","NC","N00035451","A000370",12,1946-05-27,"F",-0.468,0.017,"-",1,2,3,4,5,4500
"Adams","Alma","NC","N00035451","A000370",12,1946-05-27,"F",-0.468,0.017,"+",1,2,3,4,5,0
"Aderholt","Robert","AL","N00003028","A000055",4,1965-07-22,"M",0.403,0.479,"-",9,10,11,12,13,14750
"Aderholt","Robert","AL","N00003028","A000055",4,1965-07-22,"M",0.403,0.479,"+",9,10,11,12,13,0
"Aguilar","Pete","CA","N00033997","A000371",33,1979-06-19,"M",-0.31,0.141,"-",0,1,2,3,4,9800
"Aguilar","Pete","CA","N00033997","A000371",33,1979-06-19,"M",-0.31,0.141,"+",0,1,2,3,4,0
"Allen","Rick","GA","N00033720","A000372",12,1951-11-07,"M",0.692,0.291,"-",0,1,2,3,4,1250
"Allen","Rick","GA","N00033720","A000372",12,1951-11-07,"M",0.692,0.291,"+",0,1,2,3,4,0
"Allred","Colin","TX","N00040989","A000376",32,1983-04-15,"M",-0.43,0.708,"-",0,0,0,1,2,28750
"Allred","Colin","TX","N00040989","A000376",32,1983-04-15,"M",-0.43,0.708,"+",0,0,0,1,2,0
"Amodei","Mark","NV","N00031177","A000369",2,1958-06-12,"M",0.387,0.196,"-",2,3,4,5,6,6112
"Amodei","Mark","NV","N00031177","A000369",2,1958-06-12,"M",0.387,0.196,"+",2,3,4,5,6,0
"Armstrong","Kelly","ND","N00042868","A000377",0,1976-10-08,"M",0.449,0.101,"-",0,0,0,1,2,44000
"Armstrong","Kelly","ND","N00042868","A000377",0,1976-10-08,"M",0.449,0.101,"+",0,0,0,1,2,0
"Arrington","Jodey","TX","N00038285","A000375",19,1972-03-09,"M",0.642,0.003,"-",0,0,1,2,3,18198
"Arrington","Jodey","TX","N00038285","A000375",19,1972-03-09,"M",0.642,0.003,"+",0,0,1,2,3,0
"Auchincloss","Jake","MA","N00045506","A000148",4,1988-01-29,"M",-0.311,-0.394,"-",0,0,0,0,1,1500
"Auchincloss","Jake","MA","N00045506","A000148",4,1988-01-29,"M",-0.311,-0.394,"+",0,0,0,0,1,0
"Axne","Cynthia","IA","N00041104","A000378",3,1965-04-20,"F",-0.25,0.528,"-",0,0,0,1,2,10860
"Axne","Cynthia","IA","N00041104","A000378",3,1965-04-20,"F",-0.25,0.528,"+",0,0,0,1,2,2500
"Babin","Brian","TX","N00005736","B001291",36,1948-03-23,"M",0.711,0.074,"-",0,1,2,3,4,6900
"Babin","Brian","TX","N00005736","B001291",36,1948-03-23,"M",0.711,0.074,"+",0,1,2,3,4,0
"Bacon","Don","NE","N00037049","B001298",2,1963-08-16,"M",0.294,0.156,"-",0,0,1,2,3,5670
"Bacon","Don","NE","N00037049","B001298",2,1963-08-16,"M",0.294,0.156,"+",0,0,1,2,3,0
"Baird","James","IN","N00041954","B001307",4,1945-06-04,"M",0.449,0.61,"-",0,0,0,1,2,0
"Baird","James","IN","N00041954","B001307",4,1945-06-04,"M",0.449,0.61,"+",0,0,0,1,2,0
"Balderson","Troy","OH","N00042194","B001306",12,1962-01-16,"M",0.455,0.214,"-",0,0,1,2,3,23133
"Balderson","Troy","OH","N00042194","B001306",12,1962-01-16,"M",0.455,0.214,"+",0,0,1,2,3,0
"Banks","Jim","IN","N00037185","B001299",3,1979-07-16,"M",0.651,0.058,"-",0,0,1,2,3,6000
