"last_name","first_name","state","opensecrets_id","bioguide_id","district","birthday","gender","Industry_Type","seniority_113","seniority_114","seniority_115","seniority_116","seniority_117","total"
"Abraham","Ralph","LA","N00036633","A000374",5,1954-09-16,"M","-",0,1,2,3,3,12000
"Abraham","Ralph","LA","N00036633","A000374",5,1954-09-16,"M","+",0,1,2,3,3,0
"Adams","Alma","NC","N00035451","A000370",12,1946-05-27,"F","-",1,2,3,4,5,3750
"Adams","Alma","NC","N00035451","A000370",12,1946-05-27,"F","+",1,2,3,4,5,0
"Aderholt","Robert","AL","N00003028","A000055",4,1965-07-22,"M","-",9,10,11,12,13,20000
"Aderholt","Robert","AL","N00003028","A000055",4,1965-07-22,"M","+",9,10,11,12,13,0
"Aguilar","Pete","CA","N00033997","A000371",33,1979-06-19,"M","-",0,1,2,3,4,9925
"Aguilar","Pete","CA","N00033997","A000371",33,1979-06-19,"M","+",0,1,2,3,4,45
"Allen","Rick","GA","N00033720","A000372",12,1951-11-07,"M","-",0,1,2,3,4,7450
"Allen","Rick","GA","N00033720","A000372",12,1951-11-07,"M","+",0,1,2,3,4,350
"Amash","Justin","MI","N00031938","A000367",3,1980-04-18,"M","-",2,3,4,5,5,7100
"Amash","Justin","MI","N00031938","A000367",3,1980-04-18,"M","+",2,3,4,5,5,0
"Amodei","Mark","NV","N00031177","A000369",2,1958-06-12,"M","-",2,3,4,5,6,19700
"Amodei","Mark","NV","N00031177","A000369",2,1958-06-12,"M","+",2,3,4,5,6,0
"Ashford","Brad","NE","N00005293","A000373",2,1949-11-10,"M","-",0,1,1,1,1,24100
"Ashford","Brad","NE","N00005293","A000373",2,1949-11-10,"M","+",0,1,1,1,1,2000
"Babin","Brian","TX","N00005736","B001291",36,1948-03-23,"M","-",0,1,2,3,4,19800
"Babin","Brian","TX","N00005736","B001291",36,1948-03-23,"M","+",0,1,2,3,4,1000
"Barletta","Lou","PA","N00025495","B001269",11,1956-01-28,"M","-",2,3,4,4,4,27000
"Barletta","Lou","PA","N00025495","B001269",11,1956-01-28,"M","+",2,3,4,4,4,0
"Barr","Garland","KY","N00031233","B001282",6,1973-07-24,"M","-",1,2,3,4,5,53550
"Barr","Garland","KY","N00031233","B001282",6,1973-07-24,"M","+",1,2,3,4,5,0
"Barton","Joe","TX","N00005656","B000213",6,1949-09-15,"M","-",14,15,16,16,16,63650
"Barton","Joe","TX","N00005656","B000213",6,1949-09-15,"M","+",14,15,16,16,16,0
"Bass","Karen","CA","N00031877","B001270",37,1953-10-03,"F","-",2,3,4,5,6,6500
"Bass","Karen","CA","N00031877","B001270",37,1953-10-03,"F","+",2,3,4,5,6,0
"Beatty","Joyce","OH","N00033904","B001281",3,1950-03-12,"F","-",1,2,3,4,5,24000
"Beatty","Joyce","OH","N00033904","B001281",3,1950-03-12,"F","+",1,2,3,4,5,0
"Becerra","Xavier","CA","N00009774","B000287",34,1958-01-26,"M","-",11,12,13,13,13,2500
"Becerra","Xavier","CA","N00009774","B000287",34,1958-01-26,"M","+",11,12,13,13,13,0
"Benishek","Dan","MI","N00031934","B001271",1,1952-04-20,"M","-",2,3,3,3,3,0
"Benishek","Dan","MI","N00031934","B001271",1,1952-04-20,"M","+",2,3,3,3,3,0
"Bera","Ami","CA","N00030717","B001287",6,1965-03-02,"M","-",1,2,3,4,5,2550
"Bera","Ami","CA","N00030717","B001287",6,1965-03-02,"M","+",1,2,3,4,5,5400
"Beyer","Donald","VA","N00036018","B001292",8,1950-06-20,"M","-",0,1,2,3,4,16450
"Beyer","Donald","VA","N00036018","B001292",8,1950-06-20,"M","+",0,1,2,3,4,1000
"Bilirakis","Gus","FL","N00027462","B001257",12,1963-02-08,"M","-",4,5,6,7,8,15000
"Bilirakis","Gus","FL","N00027462","B001257",12,1963-02-08,"M","+",4,5,6,7,8,0
"Bishop","Mike","MI","N00036449","B001293",8,1967-03-18,"M","-",0,1,2,2,2,23200
"Bishop","Mike","MI","N00036449","B001293",8,1967-03-18,"M","+",0,1,2,2,2,3504
"Bishop","Rob","UT","N00025292","B001250",1,1951-07-13,"M","-",6,7,8,9,9,45666
"Bishop","Rob","UT","N00025292","B001250",1,1951-07-13,"M","+",6,7,8,9,9,0
"Bishop","Sanford","GA","N00002674","B000490",2,1947-02-04,"M","-",11,12,13,14,15,17500
"Bishop","Sanford","GA","N00002674","B000490",2,1947-02-04,"M","+",11,12,13,14,15,0
"Black","Diane","TN","N00031539","B001273",6,1951-01-16,"F","-",2,3,4,4,4,23000
"Black","Diane","TN","N00031539","B001273",6,1951-01-16,"F","+",2,3,4,4,4,0
"Blum","Rod","IA","N00033744","B001294",1,1955-04-26,"M","-",0,1,2,2,2,12300
"Blum","Rod","IA","N00033744","B001294",1,1955-04-26,"M","+",0,1,2,2,2,1500
"Blumenauer","Earl","OR","N00007727","B000574",3,1948-08-16,"M","-",10,11,12,13,14,8250
"Blumenauer","Earl","OR","N00007727","B000574",3,1948-08-16,"M","+",10,11,12,13,14,8950
"Bonamici","Suzanne","OR","N00033474","B001278",1,1954-10-14,"F","-",2,3,4,5,6,2750
"Bonamici","Suzanne","OR","N00033474","B001278",1,1954-10-14,"F","+",2,3,4,5,6,0
"Bost","Mike","IL","N00035420","B001295",12,1960-12-30,"M","-",0,1,2,3,4,38950
"Bost","Mike","IL","N00035420","B001295",12,1960-12-30,"M","+",0,1,2,3,4,0
"Boustany","Charles","LA","N00026595","B001255",3,1956-02-21,"M","-",5,6,6,6,6,172737
"Boustany","Charles","LA","N00026595","B001255",3,1956-02-21,"M","+",5,6,6,6,6,1500
"Boyle","Brendan","PA","N00035307","B001296",2,1977-02-06,"M","-",0,1,2,3,4,9500
"Boyle","Brendan","PA","N00035307","B001296",2,1977-02-06,"M","+",0,1,2,3,4,0
"Brady","Kevin","TX","N00005883","B000755",8,1955-04-11,"M","-",9,10,11,12,13,185000
"Brady","Kevin","TX","N00005883","B000755",8,1955-04-11,"M","+",9,10,11,12,13,3000
"Brady","Robert","PA","N00001619","B001227",1,1945-04-07,"M","-",9,10,11,11,11,20275
"Brady","Robert","PA","N00001619","B001227",1,1945-04-07,"M","+",9,10,11,11,11,0
"Brat","David","VA","N00036013","B001290",7,1964-07-27,"M","-",1,2,3,3,3,9875
"Brat","David","VA","N00036013","B001290",7,1964-07-27,"M","+",1,2,3,3,3,1250
"Bridenstine","Jim","OK","N00033532","B001283",1,1975-06-15,"M","-",1,2,3,3,3,18000
"Bridenstine","Jim","OK","N00033532","B001283",1,1975-06-15,"M","+",1,2,3,3,3,0
"Brooks","Mo","AL","N00030910","B001274",5,1954-04-29,"M","-",2,3,4,5,6,5000
"Brooks","Mo","AL","N00030910","B001274",5,1954-04-29,"M","+",2,3,4,5,6,0
"Brooks","Susan","IN","N00033495","B001284",5,1960-08-25,"F","-",1,2,3,4,4,24700
"Brooks","Susan","IN","N00033495","B001284",5,1960-08-25,"F","+",1,2,3,4,4,5000
"Brownley","Julia","CA","N00034254","B001285",26,1952-08-28,"F","-",1,2,3,4,5,6015
"Brownley","Julia","CA","N00034254","B001285",26,1952-08-28,"F","+",1,2,3,4,5,3
"Buchanan","Vern","FL","N00027626","B001260",16,1951-05-08,"M","-",4,5,6,7,8,5000
"Buchanan","Vern","FL","N00027626","B001260",16,1951-05-08,"M","+",4,5,6,7,8,0
"Buck","Ken","CO","N00030829","B001297",4,1959-02-16,"M","-",0,1,2,3,4,22500
"Buck","Ken","CO","N00030829","B001297",4,1959-02-16,"M","+",0,1,2,3,4,2500
"Bucshon","Larry","IN","N00031227","B001275",8,1962-05-31,"M","-",2,3,4,5,6,28450
"Bucshon","Larry","IN","N00031227","B001275",8,1962-05-31,"M","+",2,3,4,5,6,0
"Burgess","Michael","TX","N00025219","B001248",26,1950-12-23,"M","-",6,7,8,9,10,15500
"Burgess","Michael","TX","N00025219","B001248",26,1950-12-23,"M","+",6,7,8,9,10,0
"Bustos","Cheri","IL","N00033390","B001286",17,1961-10-17,"F","-",1,2,3,4,5,10325
"Bustos","Cheri","IL","N00033390","B001286",17,1961-10-17,"F","+",1,2,3,4,5,4341
"Butterfield","George","NC","N00027035","B001251",1,1947-04-27,"M","-",6,7,8,9,10,6000
"Butterfield","George","NC","N00027035","B001251",1,1947-04-27,"M","+",6,7,8,9,10,1000
"Byrne","Bradley","AL","N00035380","B001289",1,1955-02-16,"M","-",1,2,3,4,4,17500
"Byrne","Bradley","AL","N00035380","B001289",1,1955-02-16,"M","+",1,2,3,4,4,0
"Calvert","Ken","CA","N00007099","C000059",41,1953-06-08,"M","-",11,12,13,14,15,60500
"Calvert","Ken","CA","N00007099","C000059",41,1953-06-08,"M","+",11,12,13,14,15,1000
"Capps","Lois","CA","N00007232","C001036",24,1938-01-10,"F","-",9,10,10,10,10,0
"Capps","Lois","CA","N00007232","C001036",24,1938-01-10,"F","+",9,10,10,10,10,0
"Capuano","Michael","MA","N00000267","C001037",7,1952-01-09,"M","-",8,9,10,10,10,1000
"Capuano","Michael","MA","N00000267","C001037",7,1952-01-09,"M","+",8,9,10,10,10,0
"Carney","John","DE","N00030736","C001083",0,1956-05-20,"M","-",2,3,3,3,3,0
"Carney","John","DE","N00030736","C001083",0,1956-05-20,"M","+",2,3,3,3,3,0
"Carson","André","IN","N00029513","C001072",7,1974-10-16,"M","-",4,5,6,7,8,2250
"Carson","André","IN","N00029513","C001072",7,1974-10-16,"M","+",4,5,6,7,8,0
"Carter","Earl","GA","N00035346","C001103",1,1957-09-06,"M","-",0,1,2,3,4,11100
"Carter","Earl","GA","N00035346","C001103",1,1957-09-06,"M","+",0,1,2,3,4,0
"Carter","John","TX","N00025095","C001051",31,1941-11-06,"M","-",6,7,8,9,10,28000
"Carter","John","TX","N00025095","C001051",31,1941-11-06,"M","+",6,7,8,9,10,0
"Cartwright","Matthew","PA","N00034128","C001090",8,1961-05-01,"M","-",1,2,3,4,5,1000
"Cartwright","Matthew","PA","N00034128","C001090",8,1961-05-01,"M","+",1,2,3,4,5,0
"Castor","Kathy","FL","N00027514","C001066",14,1966-08-20,"F","-",4,5,6,7,8,4000
"Castor","Kathy","FL","N00027514","C001066",14,1966-08-20,"F","+",4,5,6,7,8,0
"Castro","Joaquin","TX","N00033316","C001091",20,1974-09-16,"M","-",1,2,3,4,5,7300
"Castro","Joaquin","TX","N00033316","C001091",20,1974-09-16,"M","+",1,2,3,4,5,0
"Chabot","Steve","OH","N00003689","C000266",1,1953-01-22,"M","-",9,10,11,12,13,7100
"Chabot","Steve","OH","N00003689","C000266",1,1953-01-22,"M","+",9,10,11,12,13,0
"Chaffetz","Jason","UT","N00028958","C001076",3,1967-03-26,"M","-",3,4,5,5,5,16500
"Chaffetz","Jason","UT","N00028958","C001076",3,1967-03-26,"M","+",3,4,5,5,5,0
"Chu","Judy","CA","N00030600","C001080",28,1953-07-07,"F","-",3,4,5,6,7,0
"Chu","Judy","CA","N00030600","C001080",28,1953-07-07,"F","+",3,4,5,6,7,0
"Cicilline","David","RI","N00032019","C001084",1,1961-07-15,"M","-",2,3,4,5,6,500
"Cicilline","David","RI","N00032019","C001084",1,1961-07-15,"M","+",2,3,4,5,6,1000
"Clark","Katherine","MA","N00035278","C001101",5,1963-07-17,"F","-",1,2,3,4,5,2000
"Clark","Katherine","MA","N00035278","C001101",5,1963-07-17,"F","+",1,2,3,4,5,0
"Clarke","Yvette","NY","N00026961","C001067",9,1964-11-21,"F","-",4,5,6,7,8,5000
"Clarke","Yvette","NY","N00026961","C001067",9,1964-11-21,"F","+",4,5,6,7,8,0
"Clawson","Curtis","FL","N00035854","C001102",19,1959-09-28,"M","-",1,2,2,2,2,1000
"Clawson","Curtis","FL","N00035854","C001102",19,1959-09-28,"M","+",1,2,2,2,2,0
"Clay","Wm.","MO","N00012460","C001049",1,1956-07-27,"M","-",7,8,9,10,10,4000
"Clay","Wm.","MO","N00012460","C001049",1,1956-07-27,"M","+",7,8,9,10,10,0
"Cleaver","Emanuel","MO","N00026790","C001061",5,1944-10-26,"M","-",5,6,7,8,9,3000
"Cleaver","Emanuel","MO","N00026790","C001061",5,1944-10-26,"M","+",5,6,7,8,9,1000
"Clyburn","James","SC","N00002408","C000537",6,1940-07-21,"M","-",11,12,13,14,15,55500
