"last_name","first_name","state","opensecrets_id","bioguide_id","district","Industry_Type","total"
"Adams","Alma","NC","N00035451","A000370",12,"-",6500
"Adams","Alma","NC","N00035451","A000370",12,"+",0
"Aderholt","Robert","AL","N00003028","A000055",4,"-",8000
"Aderholt","Robert","AL","N00003028","A000055",4,"+",0
"Aguilar","Pete","CA","N00033997","A000371",33,"-",23231
"Aguilar","Pete","CA","N00033997","A000371",33,"+",0
"Allen","Rick","GA","N00033720","A000372",12,"-",1500
"Allen","Rick","GA","N00033720","A000372",12,"+",0
"Allred","Colin","TX","N00040989","A000376",32,"-",19735
"Allred","Colin","TX","N00040989","A000376",32,"+",0
"Amash","Justin","MI","N00031938","A000367",3,"-",1250
"Amash","Justin","MI","N00031938","A000367",3,"+",0
"Amodei","Mark","NV","N00031177","A000369",2,"-",14750
"Amodei","Mark","NV","N00031177","A000369",2,"+",0
"Armstrong","Kelly","ND","N00042868","A000377",0,"-",41300
"Armstrong","Kelly","ND","N00042868","A000377",0,"+",0
"Arrington","Jodey","TX","N00038285","A000375",19,"-",54178
"Arrington","Jodey","TX","N00038285","A000375",19,"+",2500
"Axne","Cynthia","IA","N00041104","A000378",3,"-",8600
"Axne","Cynthia","IA","N00041104","A000378",3,"+",1000
"Babin","Brian","TX","N00005736","B001291",36,"-",16800
"Babin","Brian","TX","N00005736","B001291",36,"+",0
"Bacon","Don","NE","N00037049","B001298",2,"-",11996
"Bacon","Don","NE","N00037049","B001298",2,"+",1000
"Baird","James","IN","N00041954","B001307",4,"-",2000
"Baird","James","IN","N00041954","B001307",4,"+",0
"Balderson","Troy","OH","N00042194","B001306",12,"-",39188
"Balderson","Troy","OH","N00042194","B001306",12,"+",0
"Banks","Jim","IN","N00037185","B001299",3,"-",10000
"Banks","Jim","IN","N00037185","B001299",3,"+",0
"Barr","Garland","KY","N00031233","B001282",6,"-",42073
"Barr","Garland","KY","N00031233","B001282",6,"+",0
"Barragán","Nanette","CA","N00037019","B001300",44,"-",500
"Barragán","Nanette","CA","N00037019","B001300",44,"+",0
"Bass","Karen","CA","N00031877","B001270",37,"-",19250
"Bass","Karen","CA","N00031877","B001270",37,"+",0
"Beatty","Joyce","OH","N00033904","B001281",3,"-",17250
"Beatty","Joyce","OH","N00033904","B001281",3,"+",0
"Bera","Ami","CA","N00030717","B001287",6,"-",2250
"Bera","Ami","CA","N00030717","B001287",6,"+",0
"Bergman","Jack","MI","N00039533","B001301",1,"-",22511
"Bergman","Jack","MI","N00039533","B001301",1,"+",0
"Beyer","Donald","VA","N00036018","B001292",8,"-",11400
"Beyer","Donald","VA","N00036018","B001292",8,"+",5600
"Biggs","Andy","AZ","N00039293","B001302",5,"-",27250
"Biggs","Andy","AZ","N00039293","B001302",5,"+",0
"Bilirakis","Gus","FL","N00027462","B001257",12,"-",14000
"Bilirakis","Gus","FL","N00027462","B001257",12,"+",0
"Bishop","Dan","NC","N00044335","B001311",8,"-",3000
"Bishop","Dan","NC","N00044335","B001311",8,"+",0
"Bishop","Sanford","GA","N00002674","B000490",2,"-",7500
"Bishop","Sanford","GA","N00002674","B000490",2,"+",0
"Blumenauer","Earl","OR","N00007727","B000574",3,"-",750
"Blumenauer","Earl","OR","N00007727","B000574",3,"+",0
"Blunt Rochester","Lisa","DE","N00038414","B001303",0,"-",12500
"Blunt Rochester","Lisa","DE","N00038414","B001303",0,"+",0
"Bonamici","Suzanne","OR","N00033474","B001278",1,"-",1000
"Bonamici","Suzanne","OR","N00033474","B001278",1,"+",0
"Bost","Mike","IL","N00035420","B001295",12,"-",33888
"Bost","Mike","IL","N00035420","B001295",12,"+",0
"Boyle","Brendan","PA","N00035307","B001296",2,"-",2000
"Boyle","Brendan","PA","N00035307","B001296",2,"+",0
"Brady","Kevin","TX","N00005883","B000755",8,"-",95800
"Brady","Kevin","TX","N00005883","B000755",8,"+",0
"Brindisi","Anthony","NY","N00041385","B001308",22,"-",4250
"Brindisi","Anthony","NY","N00041385","B001308",22,"+",500
"Brooks","Mo","AL","N00030910","B001274",5,"-",2500
"Brooks","Mo","AL","N00030910","B001274",5,"+",0
"Brooks","Susan","IN","N00033495","B001284",5,"-",12000
"Brooks","Susan","IN","N00033495","B001284",5,"+",0
"Brown","Anthony","MD","N00036999","B001304",4,"-",16750
"Brown","Anthony","MD","N00036999","B001304",4,"+",250
"Brownley","Julia","CA","N00034254","B001285",26,"-",7000
"Brownley","Julia","CA","N00034254","B001285",26,"+",0
"Buchanan","Vern","FL","N00027626","B001260",16,"-",43788
"Buchanan","Vern","FL","N00027626","B001260",16,"+",0
"Buck","Ken","CO","N00030829","B001297",4,"-",2000
"Buck","Ken","CO","N00030829","B001297",4,"+",0
"Bucshon","Larry","IN","N00031227","B001275",8,"-",6250
"Bucshon","Larry","IN","N00031227","B001275",8,"+",0
"Burchett","Tim","TN","N00041594","B001309",2,"-",17000
"Burchett","Tim","TN","N00041594","B001309",2,"+",0
"Burgess","Michael","TX","N00025219","B001248",26,"-",9100
"Burgess","Michael","TX","N00025219","B001248",26,"+",0
"Bustos","Cheri","IL","N00033390","B001286",17,"-",54250
"Bustos","Cheri","IL","N00033390","B001286",17,"+",4000
"Butterfield","George","NC","N00027035","B001251",1,"-",4500
"Butterfield","George","NC","N00027035","B001251",1,"+",0
"Byrne","Bradley","AL","N00035380","B001289",1,"-",39700
"Byrne","Bradley","AL","N00035380","B001289",1,"+",8000
"Calvert","Ken","CA","N00007099","C000059",41,"-",14300
"Calvert","Ken","CA","N00007099","C000059",41,"+",0
"Carbajal","Salud","CA","N00037015","C001112",24,"-",4250
"Carbajal","Salud","CA","N00037015","C001112",24,"+",0
"Carson","André","IN","N00029513","C001072",7,"-",0
"Carson","André","IN","N00029513","C001072",7,"+",700
"Carter","Earl","GA","N00035346","C001103",1,"-",29300
"Carter","Earl","GA","N00035346","C001103",1,"+",0
"Carter","John","TX","N00025095","C001051",31,"-",24522
"Carter","John","TX","N00025095","C001051",31,"+",0
"Cartwright","Matthew","PA","N00034128","C001090",8,"-",3000
"Cartwright","Matthew","PA","N00034128","C001090",8,"+",0
"Case","Ed","HI","N00025882","C001055",1,"-",3500
"Case","Ed","HI","N00025882","C001055",1,"+",0
"Casten","Sean","IL","N00041338","C001117",6,"-",10600
"Casten","Sean","IL","N00041338","C001117",6,"+",5750
"Castor","Kathy","FL","N00027514","C001066",14,"-",2650
"Castor","Kathy","FL","N00027514","C001066",14,"+",2500
"Castro","Joaquin","TX","N00033316","C001091",20,"-",-1500
"Castro","Joaquin","TX","N00033316","C001091",20,"+",0
"Chabot","Steve","OH","N00003689","C000266",1,"-",7878
"Chabot","Steve","OH","N00003689","C000266",1,"+",0
"Cheney","Liz","WY","N00035504","C001109",0,"-",61100
"Cheney","Liz","WY","N00035504","C001109",0,"+",0
"Chu","Judy","CA","N00030600","C001080",28,"-",1000
"Chu","Judy","CA","N00030600","C001080",28,"+",0
"Cicilline","David","RI","N00032019","C001084",1,"-",1055
"Cicilline","David","RI","N00032019","C001084",1,"+",0
"Cisneros","Gilbert","CA","N00041464","C001123",39,"-",8600
"Cisneros","Gilbert","CA","N00041464","C001123",39,"+",0
"Clark","Katherine","MA","N00035278","C001101",5,"-",4800
"Clark","Katherine","MA","N00035278","C001101",5,"+",0
"Clarke","Yvette","NY","N00026961","C001067",9,"-",4500
"Clarke","Yvette","NY","N00026961","C001067",9,"+",0
"Clay","Wm.","MO","N00012460","C001049",1,"-",2000
"Clay","Wm.","MO","N00012460","C001049",1,"+",0
"Cleaver","Emanuel","MO","N00026790","C001061",5,"-",4500
"Cleaver","Emanuel","MO","N00026790","C001061",5,"+",0
"Cline","Ben","VA","N00042296","C001118",6,"-",9600
"Cline","Ben","VA","N00042296","C001118",6,"+",0
"Cloud","Michael","TX","N00041882","C001115",27,"-",4500
"Cloud","Michael","TX","N00041882","C001115",27,"+",0
"Clyburn","James","SC","N00002408","C000537",6,"-",59300
"Clyburn","James","SC","N00002408","C000537",6,"+",0
"Cole","Tom","OK","N00025726","C001053",4,"-",78100
"Cole","Tom","OK","N00025726","C001053",4,"+",3000
"Collins","Doug","GA","N00033518","C001093",9,"-",11000
"Collins","Doug","GA","N00033518","C001093",9,"+",0
"Comer","James","KY","N00038260","C001108",1,"-",10500
"Comer","James","KY","N00038260","C001108",1,"+",5000
"Conaway","K.","TX","N00026041","C001062",11,"-",28100
"Conaway","K.","TX","N00026041","C001062",11,"+",0
"Connolly","Gerald","VA","N00029891","C001078",11,"-",5750
"Connolly","Gerald","VA","N00029891","C001078",11,"+",0
"Cook","Paul","CA","N00034224","C001094",8,"-",9500
"Cook","Paul","CA","N00034224","C001094",8,"+",2800
"Cooper","Jim","TN","N00003132","C000754",5,"-",3500
"Cooper","Jim","TN","N00003132","C000754",5,"+",0
"Correa","J.","CA","N00037260","C001110",46,"-",18000
"Correa","J.","CA","N00037260","C001110",46,"+",0
"Costa","Jim","CA","N00026341","C001059",21,"-",27500
"Costa","Jim","CA","N00026341","C001059",21,"+",0
"Courtney","Joe","CT","N00024842","C001069",2,"-",6000
"Courtney","Joe","CT","N00024842","C001069",2,"+",0
"Cox","TJ","CA","N00028122","C001124",21,"-",4583
"Cox","TJ","CA","N00028122","C001124",21,"+",1095
"Craig","Angie","MN","N00037039","C001119",2,"-",6500
"Craig","Angie","MN","N00037039","C001119",2,"+",0
"Crawford","Eric","AR","N00030770","C001087",1,"-",10000
"Crawford","Eric","AR","N00030770","C001087",1,"+",0
"Crenshaw","Dan","TX","N00042224","C001120",2,"-",105988
"Crenshaw","Dan","TX","N00042224","C001120",2,"+",2800
"Crist","Charlie","FL","N00002942","C001111",13,"-",11200
"Crist","Charlie","FL","N00002942","C001111",13,"+",0
"Crow","Jason","CO","N00040876","C001121",6,"-",5600
"Crow","Jason","CO","N00040876","C001121",6,"+",0
"Cuellar","Henry","TX","N00024978","C001063",28,"-",66150
"Cuellar","Henry","TX","N00024978","C001063",28,"+",0
"Cummings","Elijah","MD","N00001971","C000984",7,"-",4500
"Cummings","Elijah","MD","N00001971","C000984",7,"+",0
"Cunningham","Joe","SC","N00041400","C001122",1,"-",2380
"Cunningham","Joe","SC","N00041400","C001122",1,"+",1000
"Curtis","John","UT","N00041221","C001114",3,"-",16000
"Curtis","John","UT","N00041221","C001114",3,"+",2000
"Cárdenas","Tony","CA","N00033373","C001097",29,"-",14000
"Cárdenas","Tony","CA","N00033373","C001097",29,"+",0
"Davids","Sharice","KS","N00042626","D000629",3,"-",3250
"Davids","Sharice","KS","N00042626","D000629",3,"+",1000
"Davis","Danny","IL","N00004884","D000096",7,"-",9000
"Davis","Danny","IL","N00004884","D000096",7,"+",0
"Davis","Rodney","IL","N00034784","D000619",13,"-",59464
"Davis","Rodney","IL","N00034784","D000619",13,"+",0
"DeFazio","Peter","OR","N00007781","D000191",4,"-",6500
"DeFazio","Peter","OR","N00007781","D000191",4,"+",0
"DeGette","Diana","CO","N00006134","D000197",1,"-",1000
"DeGette","Diana","CO","N00006134","D000197",1,"+",0
"DeLauro","Rosa","CT","N00000615","D000216",3,"-",1350
"DeLauro","Rosa","CT","N00000615","D000216",3,"+",0
"DeSaulnier","Mark","CA","N00030709","D000623",10,"-",6150
"DeSaulnier","Mark","CA","N00030709","D000623",10,"+",0
"Dean","Madeleine","PA","N00042894","D000631",4,"-",2000
"Dean","Madeleine","PA","N00042894","D000631",4,"+",0
"DelBene","Suzan","WA","N00030693","D000617",1,"-",4000
"DelBene","Suzan","WA","N00030693","D000617",1,"+",0
"Delgado","Antonio","NY","N00040741","D000630",19,"-",2000
"Delgado","Antonio","NY","N00040741","D000630",19,"+",0
"Demings","Val","FL","N00033449","D000627",10,"-",3500
"Demings","Val","FL","N00033449","D000627",10,"+",0
"DesJarlais","Scott","TN","N00030957","D000616",4,"-",4100
"DesJarlais","Scott","TN","N00030957","D000616",4,"+",0
"Deutch","Theodore","FL","N00031317","D000610",22,"-",6500
"Deutch","Theodore","FL","N00031317","D000610",22,"+",2800
"Diaz-Balart","Mario","FL","N00025337","D000600",26,"-",20100
"Diaz-Balart","Mario","FL","N00025337","D000600",26,"+",0
"Dingell","Debbie","MI","N00036149","D000624",6,"-",26400
