District,Party,"Member_of_Congress",BioID,GovtrackID,"2021_Score","Lifetime_Score","Certifying","Certifying","Impeachment","Protecting","Votin","Protecting","Protecting","Washington","Increasing","Corporate","Repealing","Removing","Investing","Building","Investing in Transportation and Water Infrastructure  (208)","Protecting People from PFAS (217)","Pro-Environment Funding Package (247)","Restoring the Voting Rights Act (260)","Taking Action on PFAS Contamination  (272)","Censuring Paul Gosar (379)","Transformative Climate, Jobs, and Justice Investments (2x Score) (385)","Transformative Climate, Jobs, and Justice Investments  (385)","Supporting Tribal Management of Bison (427)"
CA-01,R,"LaMalfa, Doug",L000578,412510,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,-,-,+
CA-02,D,"Huffman, Jared",H001068,412511,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-03,D,"Garamendi, John",G000559,412382,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-04,R,"McClintock, Tom",M001177,412295,9,4,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CA-05,D,"Thompson, Mike",T000460,400403,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-06,D,"Matsui, Doris",M001163,400663,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-07,D,"Bera, Ami",B001287,412512,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-08,R,"Obernolte, Jay",O000019,456801,9,9,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
CA-09,D,"McNerney, Jerry",M001166,412189,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-10,D,"Harder, Josh",H001090,412754,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-11,D,"DeSaulnier, Mark",D000623,412613,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-12,D,"Pelosi, Nancy",P000197,400314,100,94,+,+,+,n/a,+,+,+,+,n/a,+,n/a,+,n/a,n/a,n/a,n/a,+,+,n/a,+,+,+,n/a
CA-13,D,"Lee, Barbara",L000551,400237,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-14,D,"Speier, Jackie",S001175,412259,96,92,+,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+
CA-15,D,"Swalwell, Eric",S001193,412514,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-16,D,"Costa, Jim",C001059,400618,96,56,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+
CA-17,D,"Khanna, Ro",K000389,412684,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-18,D,"Eshoo, Anna",E000215,400124,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-19,D,"Lofgren, Zoe",L000397,400245,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-20,D,"Panetta, Jimmy",P000613,412685,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-21,R,"Valadao, David",V000129,412515,24,7,,,+,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
CA-22,R,"Nunes, Devin",N000181,400297,9,3,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+
CA-23,R,"McCarthy, Kevin",M001165,412190,13,4,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
CA-24,D,"Carbajal, Salud",C001112,412686,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-25,R,"Garcia, Mike",G000061,456792,17,19,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
CA-26,D,"Brownley, Julia",B001285,412516,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-27,D,"Chu, Judy",C001080,412379,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-28,D,"Schiff, Adam",S001150,400361,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-29,D,"CÃ¡rdenas, Tony",C001097,412517,96,88,+,+,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+
CA-30,D,"Sherman, Brad",S000344,400371,100,97,+,+,+,+,+,+,+,+,+,+,+,+,n/a,+,+,+,+,+,+,+,+,+,+
CA-31,D,"Aguilar, Pete",A000371,412615,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-32,D,"Napolitano, Grace",N000179,400290,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-33,D,"Lieu, Ted",L000582,412616,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-34,D,"Gomez, Jimmy",G000585,412739,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-35,D,"Torres, Norma",T000474,412617,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-36,D,"Ruiz, Raul",R000599,412519,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-37,D,"Bass, Karen",B001270,412404,100,89,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-38,D,"Sanchez, Linda",S001156,400355,96,94,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+
CA-39,R,"Kim, Young",K000397,456802,23,23,n/a,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+
CA-40,D,"Roybal-Allard, Lucille",R000486,400347,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-41,D,"Takano, Mark",T000472,412520,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-42,R,"Calvert, Ken",C000059,400057,13,7,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
CA-43,D,"Waters, Maxine",W000187,400422,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
